序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
45,电机试验工装,,HT0926,,2009,2009-3-1,,
46,HTB17变频调速异步电动机,HTB17,HT0927,项目编号HTK09-08，五缸泥浆泵直驱式电动机研制(1600HP)，2台。（合同号：JZ100454）商务部（2010）第（00104）号通知排产1套,2009,2009-3-1,,
47,HTB09变频调速异步电动机,HTB09,HT0928,其中1台配套连续油管钻机，另1台备用。直驱顶驱电机。091201接到商务合同JZ092805，此2台电机配套SBDSL13509066-67项目,2009,2009-3-1,,
48,HTB18变频调速异步电动机,HTB18,HT0929,其中1台配套连续油管钻机（091201接到商务合同JZ092805，此1台电机配套SZ30T09007项目），另1台备用。项目编号HTK09-07，250kW，液压泵三相异步电动机研制。,2009,2009-3-1,,
49,HTB22变频调速异步电动机,HTB22,HT0930,其中1台配套连续油管钻机，另1台备用（091201接到商务合同JZ092805，此1台电机配套SZ30T09007项目）。直驱绞车电机,2009,2009-3-1,,
50,防爆电器,,HT0931,项目编号HTK09-03，防爆电器研发,2009,2009-3-1,,
51,HTB21变频调速异步电动机,HTB21,HT0932,项目编号HTK09-09，三缸泥浆泵（3NB-1000F）直驱式电动机研制(1000HP)，6台，750KW。第1-4台配套捷乌40DBS-1～2，2台/套，第5台用于JZ102306合同捷乌ZJ40DBS售后，第6台备用。2009年完成。,2009,2009-3-1,,
52,2.5HP振动筛三相异步电动机,,HT0933,项目编号HTK09-04，2.5HP振动筛三相异步电动机研制。,2009,2009-3-1,,
53,船舶电气,,HT0935,项目编号HTK09-05，船舶电气系统研制。,2009,2009-3-1,,
54,自制整流,800kW-3300kW,HT0936,项目编号HTK09-06，用于石油钻机整流柜的研制。其中900kW整流柜集成到HT10005顶驱房内，采购HT10005的生产令号,2009,2009-3-1,2010.5.6,
55,发电机控制系统测试平台,,HT0937,项目编号HTK09-02，发电机控制系统测试平台研制。,2009,2009-3-1,,
56,可燃气体探测系统,,HT0938,项目编号HTK09-10，可燃气体探测系统研制。,2009,2009-3-1,,
57,井场信息综合管理系统,,HT0939,项目编号HTK09-11，井场数据服务中心研制。,2009,2009-3-1,,
58,KDC40DT新增视频系统,,HT0940,合同号JZ091777。商务部2009.09.15开票交宏华。,2009,2009-3-1,,
59,HTB03B变频调速异步电动机,HTB03B,HT0941,配套捷乌40DBS-1～2，1台/套。转盘驱动电机，800kW，600V，基频转速740r/min,2009,2009-3-1,,
60,HTB06A变频调速异步电动机,HTB06A,HT0942,配套捷乌40DBS-1～2，1台/套。绞车主电机，1000kW，600V，基频转速800r/min,2009,2009-3-1,,
61,HTB04变频调速异步电动机,HTB04,HT0943,配套陆地ZJ90DBS项目行星绞车（用原已制作完成的电机改制）,2009,2009-3-1,,
62,HTB04A变频调速异步电动机,HTB04A,HT0944,配套陆地ZJ90DBS项目行星绞车（用原已制作完成的电机改制）,2009,2009-3-1,,
63,盘刹送钻试验,,HT0945,刘海亮2009.11.10通知新增，20091225肖伟送广汉,2009,2009-3-1,,
64,HH泥浆泵试验升级改造,,HT0946,2009.12.30商务部HTSW09473联系单通知排产，合同号：HG10003,2009,2009-3-1,,
65,约旦ZJ70DBS,ZJ70DBS,HT0947,商务合同号：HTXB09011。用原阿联酋ETA70DBS-2项目钻机改制。,2009,2009-3-1,,
66,发电房配套电器,,HT0948,商务合同号：JZ090895，原配套宏华40DBS教学钻机（SZ40DBS09001T）,2009,2009-3-1,,
67,营房发电房发电机切换箱,,HT0949,商务合同号：JZ090399，原配套（SZ70D08069T）,2009,2009-3-1,,
68,气源房照明系统,,HT0950,商务合同号：JZ090492，原配套（SZ70LDB08039T）,2009,2009-3-1,,
69,捷乌新增一套ZJ70DBS平移装置,,SB09188T,冷静2011-1-7回复：配套乌兹别克Eriell公司ZJ70DBS-3，SZ70DBS08020T,2009,2009-3-1,2011-1-7,
70,日本HHF500泵组电气材料,,SB40DBS09187T,商务部（ 2010）第（00482）号联系单通知投产,2009,2009-3-1,,
71,印度ZJ70D液压站控制箱-1,,SB70D09005T,2009.05.14周四，力旺大车送广汉,2009,2009-3-1,,
72,印度ZJ70D液压站控制箱-2,,SB70D09006T,2009.05.14周四，力旺大车送广汉,2009,2009-3-1,,
73,印度ZJ70D液压站控制箱-3,,SB70D09007T,2009.05.14周四，力旺大车送广汉,2009,2009-3-1,,
74,印度ZJ70D液压站控制箱-4,,SB70D09008T,2009.05.14周四，力旺大车送广汉,2009,2009-3-1,,
75,印度ZJ70D液压站控制箱-1,,SB70D09083T,2009.09.25下单采购、制作。肖伟9.30送广汉,2009,2009-3-1,,
76,印度ZJ70D液压站控制箱-2,,SB70D09084T,2009.09.25下单采购、制作。肖伟9.30送广汉,2009,2009-3-1,,
77,印度ZJ70D液压站控制箱-3,,SB70D09085T,2009.09.25下单采购、制作。龙师10.06送广汉,2009,2009-3-1,,
78,印度ZJ70D液压站控制箱-4,,SB70D09086T,2009.09.25下单采购、制作。龙师10.06送广汉,2009,2009-3-1,,
79,捷乌70LDB液压站控制箱,,SB70LDB09001T,2009.05.14周四，力旺大车送广汉,2009,2009-3-1,,
80,印度HHF-800 柴油机泵组急停盒,,SBHHF80009076T ,商务部（2009）第（208）号。09.09.01肖伟车辆送广汉,2009,2009-3-1,,
81,DQ40BZ直驱顶驱电控系统-1,DQ40BZ,SBDQ40BZ09111T,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09111顶驱系统,2009,2010-5-24,,
82,DQ40BZ直驱顶驱电控系统-2,DQ40BZ,SBDQ40BZ09112T,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09112顶驱系统。2012.7.16《商务部（2012）第（0713423）号》，2012.7.16《总调室（2012）第（00788）号》,2009,2010-5-24,,
83,DQ40BZ直驱顶驱电控系统-3,DQ40BZ,SBDQ40BZ09180T,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09180顶驱系统,2009,2010-5-24,,
84,DQ40BZ直驱顶驱电控系统-4,DQ40BZ,SBDQ40BZ09181T,（合同号：JZ100454）商务部（2010）第（00104）号通知排产。2010.5.19商务部（2010）第（00215）号联系单通知配套宏华：SBDQ40BZ09181顶驱系统,2009,2010-5-24,,
85,川庆70DBS升级改造,ZJ70DBS,SX70DBS09001T,,2009,2009-3-1,,
86,川庆ZJ70L改造-1,ZJ70L,SX70L09004T,,2009,2009-3-1,,
87,川庆ZJ70L改造-2,ZJ70L,SX70L09005T,,2009,2009-3-1,,
88,川庆ZJ70L改造-3,ZJ70L,SX70L09006T,,2009,2009-3-1,,
89,川庆ZJ70L改造-4,ZJ70L,SX70L09007T,,2009,2009-3-1,,
90,川西钻探公司JC40改造,ZJ40J,SX40J09008T,,2009,2009-3-1,,
91,川东钻探公司ZJ70L改造,ZJ70L,SX70L09009T,,2009,2010-7-7,,
92,川西钻探公司ZJ50L改造-1,ZJ50L,SX50L09010T,,2009,2010-5-4,,
93,川西钻探公司ZJ50L改造-2,ZJ50L,SX50L09011T,,2009,2009-3-1,,
94,川庆塔里木ZJ70L改造,ZJ70L,SX70L09012T,,2009,2010-4-22,,
95,西南局广西钻探公司ZJ50L改造,ZJ50L,SX50L09013T,司钻房2010-4-26送广汉,2009,2009-3-1,,
96,川庆ZJ70DB大修钻机,ZJ70DB,SX70DB09014T,商务合同号：HTXB09015,2009,2009-3-1,,
97,备用40DBS（教学钻机）,ZJ40DBS,SZ40DBS09001T,,2009,2009-3-1,,
98,孟加拉ZJ70DBS,ZJ70DBS,SZ70DBS09002T,,2009,2009-3-1,,
99,中海油能源发展股份有限公司ZJ50DBS,ZJ50DBS,SZ50DBS09003T,,2009,2009-3-1,,
100,KDC ZJ40DT,ZJ40DT,SZ40DT09004T,,2009,2009-3-1,,
101,KDC ZJ70DBS-1,ZJ70DBS,SZ70DBS09005T,,2009,2009-3-1,,
102,KDC ZJ70DBS-2,ZJ70DBS,SZ70DBS09006T,,2009,2009-3-1,,
103,自备连续油管钻机,ZJ30CT,SZ30CT09007T,,2009,2009-3-1,,
104,捷乌ZJ40DBS-1,ZJ40DBS,SZ40DBS09008T,,2009,2009-3-1,,
105,捷乌ZJ40DBS-2,ZJ40DBS,SZ40DBS09009T,,2009,2009-3-1,,
106,迪拜10DBS-1,ZJ10DBS,SZ10DBS09010T,,2009,2009-3-1,,
107,迪拜10DBS-2,ZJ10DBS,SZ10DBS09011T,,2009,2009-3-1,,
108,陆地70DBS-1,ZJ70DBS,SZ70DBS09012T,2010-7-8《商务部（2010）第（00310）号》恢复生产，对应宏华生产指令：X09013221。用作川庆壳牌ZJ70DBS-1。2010-11-25《商务部（2010）第（00705）号》生产指令变更为：X10029221,2009,2009-3-1,2010.7.13,
109,陆地70DBS-2,ZJ70DBS,SZ70DBS09013T,2010-7-8《商务部（2010）第（00310）号》恢复生产，对应宏华生产指令：X09013221。2010-8-23《总调室（2010）第（00926）号》用作泰国ZJ70DBS对应宏华生产指令：X10006221。2010-8-25《总调室（2010）第（00936）号》用作川庆壳牌ZJ70DBS-2。2010-11-25《商务部（2010）第（00705）号》生产指令变更为：X10047221,2009,2009-3-1,2010.8.25,
110,陆地70DBS-3,ZJ70DBS,SZ70DBS09014T,2010-7-8《商务部（2010）第（00310）号》恢复生产，对应宏华生产指令：X09013221。2010-7-30《总调室（2010）第（00807）号》用作油气田公司ZJ70DBS对应宏华生产指令：X10038221。2010.08.31《总调室（2010）第（00968）号》通知不再给油气田公司ZJ70DBS。最新挪用给印尼ZJ70DBS，宏华指令号：X10038221,2009,2009-3-1,2010.8.2,
111,陆地70DBS-4,ZJ70DBS,SZ70DBS09015T,2010-7-8《商务部（2010）第（00310）号》恢复生产，对应宏华生产指令：X09013221。2010-8-25《总调室（2010）第（00936）号》用作泰国ZJ70DBS对应宏华生产指令：X10006221,2009,2009-3-1,2010.8.25更新,
112,陆地90DBS,ZJ90DBS,SZ90DBS09016T,捷乌ZJ90DBS低温钻机2010.6.28《商务部（2010）第（00285）号》联系单给出宏华生产指令：X0901501。2010-10-13：商务部（2010）第（00385）号挪用给,2009,2009-3-1,2010.10.13更新,
113,陆地40DBS-1,ZJ40DBS,SZ40DBS09017T,2010-7-8《商务部（2010）第（00310）号》恢复生产，对应宏华生产指令：X09012211,2009,2009-3-1,2010.7.13更新,
114,陆地40DBS-2,ZJ40DBS,SZ40DBS09018T,,2009,2009-3-1,,
115,海洋300ft-1,ZJ90DBS,SZ90DBS09019T,,2009,2010-4-22,,
116,海洋300ft-2,ZJ90DBS,SZ90DBS09020T,,2009,2010-4-22,,
117,海洋300ft-3,ZJ90DBS,SZ90DBS09021T,,2009,2010-4-22,,
118,海洋350ft-1,ZJ90DBS,SZ90DBS09022T,,2009,2010-4-22,,
119,海洋350ft-2,ZJ90DBS,SZ90DBS09023T,,2009,2010-4-22,,
120,海洋350ft-3,ZJ90DBS,SZ90DBS09024T,,2009,2010-4-22,,
121,海洋350ft-4,ZJ90DBS,SZ90DBS09025T,,2009,2010-4-22,,
122,海洋350ft-5,ZJ90DBS,SZ90DBS09026T,,2009,2010-4-22,,
123,海洋350ft-6,ZJ90DBS,SZ90DBS09027T,,2009,2010-4-22,,
124,重庆ZJ10DBS教学钻机,ZJ10DBS,SZ10DBS09028T,,2009,2010-5-19,,
125,捷乌70DBS平移装置-1,ZJ70DBS,SB09184,2009-11-26《商务部（2009）第（00421）号》,2009,2009-3-1,2010.9.27,
126,捷乌70DBS平移装置-2,ZJ70DBS,SB09185,2009-11-26《商务部（2009）第（00421）号》,2009,2009-3-1,2010.9.27,
127,捷乌70DBS平移装置-3,ZJ70DBS,SB09186,配套乌兹别克Eriell公司ZJ70DBS-5，SZ70DBS08031T。2009-11-26《商务部（2009）第（00421）号》,2009,2009-3-1,2010.9.27,
