序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,
31,HTB13型变频调速异步电动机-2,HTB13,DJ0130002,2010-6-7《商务部（2010）第（00244）号》，宏华采购订单号：10003890，宏华生产订单号：10006114。配套DQ70BZ直驱顶驱-2（HT10032）,2010,2010-6-7,,,,,
32,HTB13型变频调速异步电动机-3,HTB13,DJ0130003,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10009547。配套DQ70BZ直驱顶驱-3（HT10046）,2010,2010-6-9,,,,,
33,HTB13型变频调速异步电动机-4,HTB13,DJ0130004,2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10009547。配套DQ70BZ直驱顶驱-4（HT10047）,2010,2010-6-9,,,,,
34,HTB13型变频调速异步电动机-5,HTB13,DJ0130005,2010-8-3《总调室（2010）第（00835）号》,2010,2010-8-5,,,,,
35,HTB13型变频调速异步电动机-6,HTB13,DJ0130006,2010-8-3《总调室（2010）第（00835）号》,2010,2010-8-5,,,,,
36,HTB13型变频调速异步电动机-7,HTB13,DJ0130007,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
37,HTB13型变频调速异步电动机-8,HTB13,DJ0130008,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
38,HTB13型变频调速异步电动机-9,HTB13,DJ0130009,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
39,HTB13型变频调速异步电动机-10,HTB13,DJ0130010,2010-10-25曾亮通知增加，配套《总调室（2010）第（01155）号》联系单,2010,2010-10-25,,,,,
40,HTB13型变频调速异步电动机-11,HTB13,DJ0130011,计划配套10021309顶驱,2010,2010-12-14,,,,,
41,HTB13型变频调速异步电动机-12,HTB13,DJ0130012,计划配套10021309顶驱,2010,2010-12-14,,,,,
42,HTB13型变频调速异步电动机-13,HTB13,DJ0130013,计划配套10021309顶驱,2010,2010-12-14,,,,,
43,HTB13型变频调速异步电动机-14,HTB13,DJ0130014,计划配套10021309顶驱,2010,2010-12-14,,,,,
44,HTB13型变频调速异步电动机-15,HTB13,DJ0130015,计划配套10021309顶驱,2010,2010-12-14,,,,,
45,HTB13型变频调速异步电动机-16,HTB13,DJ0130016,计划配套10021309顶驱,2010,2010-12-14,,,,,
46,HTB03型变频调速异步电动机-2,HTB03,DJ0030002,,2010,2010-7-19,,,,,
47,HTB03型变频调速异步电动机-3,HTB03,DJ0030003,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
48,HTB03型变频调速异步电动机-4,HTB03,DJ0030004,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
49,HTB03型变频调速异步电动机-5,HTB03,DJ0030005,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
50,HTB03型变频调速异步电动机-6,HTB03,DJ0030006,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
51,HTB03型变频调速异步电动机-7,HTB03,DJ0030007,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
52,HTB04型变频调速异步电动机-2,HTB04,DJ0040002,,2010,2010-7-19,,,,,
53,HTB06型变频调速异步电动机-3,HTB06,DJ0060003,,2010,2010-7-19,,,,,
54,HTB06型变频调速异步电动机-4,HTB06,DJ0060004,,2010,2010-7-19,,,,,
55,HTB06型变频调速异步电动机-5,HTB06,DJ0060005,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
56,HTB06型变频调速异步电动机-6,HTB06,DJ0060006,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
57,HTB06型变频调速异步电动机-7,HTB06,DJ0060007,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
58,HTB06型变频调速异步电动机-8,HTB06,DJ0060008,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
59,HTB06型变频调速异步电动机-9,HTB06,DJ0060009,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
60,HTB06型变频调速异步电动机-10,HTB06,DJ0060010,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
61,HTB06型变频调速异步电动机-11,HTB06,DJ0060011,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
62,HTB06型变频调速异步电动机-12,HTB06,DJ0060012,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
63,HTB06型变频调速异步电动机-13,HTB06,DJ0060013,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
64,HTB06型变频调速异步电动机-14,HTB06,DJ0060014,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
65,HTB06型变频调速异步电动机-15,HTB06,DJ0060015,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
66,HTB06型变频调速异步电动机-16,HTB06,DJ0060016,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
67,HTB06型变频调速异步电动机-17,HTB06,DJ0060017,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
68,HTB06型变频调速异步电动机-18,HTB06,DJ0060018,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
69,HTB06型变频调速异步电动机-19,HTB06,DJ0060019,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
70,HTB06型变频调速异步电动机-20,HTB06,DJ0060020,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
71,HTB06型变频调速异步电动机-21,HTB06,DJ0060021,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
72,HTB06型变频调速异步电动机-22,HTB06,DJ0060022,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
73,HTB06型变频调速异步电动机-23,HTB06,DJ0060023,2010.12.02张鹏《DJ-GZ2010-0171》增加12台,2010,2010-12-2,,,,,,
74,HTB06型变频调速异步电动机-24,HTB06,DJ0060024,备用,2010,2010-12-6,,,,,,
75,HTB06型变频调速异步电动机-25,HTB06,DJ0060025,备用,2010,2010-12-6,,,,,,
76,HTB02B型变频调速异步电动机-3,HTB02B,DJ02B0003,准备配套油气田公司ZJ70DBS项目,2010,2010-7-19,,,,,
77,HTB02B型变频调速异步电动机-4,HTB02B,DJ02B0004,,2010,2010-7-19,,,,,
78,HTB02B型变频调速异步电动机-5,HTB02B,DJ02B0005,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
79,HTB02B型变频调速异步电动机-6,HTB02B,DJ02B0006,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
80,HTB02B型变频调速异步电动机-7,HTB02B,DJ02B0007,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-6,,,,,
81,HTB02B型变频调速异步电动机-8,HTB02B,DJ02B0008,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-6,,,,,
82,HTB02B型变频调速异步电动机-9,HTB02B,DJ02B0009,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
83,HTB02B型变频调速异步电动机-10,HTB02B,DJ02B0010,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
84,HTB02B型变频调速异步电动机-11,HTB02B,DJ02B0011,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
85,HTB02B型变频调速异步电动机-12,HTB02B,DJ02B0012,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
86,HTB02B型变频调速异步电动机-13,HTB02B,DJ02B0013,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
87,HTB02B型变频调速异步电动机-14,HTB02B,DJ02B0014,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
88,HTB02B型变频调速异步电动机-15,HTB02B,DJ02B0015,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
89,HTB02B型变频调速异步电动机-16,HTB02B,DJ02B0016,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
90,HTB02B型变频调速异步电动机-17,HTB02B,DJ02B0017,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
91,HTB02B型变频调速异步电动机-18,HTB02B,DJ02B0018,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
92,HTB02B型变频调速异步电动机-19,HTB02B,DJ02B0019,2010.11.23袁亚芬《DJ-GZ2010-0156》增加7台用于欧亚项目,2010,2010-11-23,,,,,
93,HTB02B型变频调速异步电动机-20,HTB02B,DJ02B0020,2010.12.02张鹏《DJ-GZ2010-0171》增加3台,2010,2010-12-2,,,,,,
94,HTB02B型变频调速异步电动机-21,HTB02B,DJ02B0021,2010.12.02张鹏《DJ-GZ2010-0171》增加3台,2010,2010-12-2,,,,,,
95,HTB02B型变频调速异步电动机-22,HTB02B,DJ02B0022,2010.12.02张鹏《DJ-GZ2010-0171》增加3台,2010,2010-12-2,,,,,,
96,HTB02B型变频调速异步电动机-23,HTB02B,DJ02B0023,2010.12.07张鹏《DJ-GZ2010-0177》增加4台,2010,2010-12-7,,,,,,
97,HTB02B型变频调速异步电动机-24,HTB02B,DJ02B0024,2010.12.07张鹏《DJ-GZ2010-0177》增加4台,2010,2010-12-7,,,,,,
98,HTB02B型变频调速异步电动机-25,HTB02B,DJ02B0025,2010.12.07张鹏《DJ-GZ2010-0177》增加4台,2010,2010-12-7,,,,,,
99,HTB02B型变频调速异步电动机-26,HTB02B,DJ02B0026,2010.12.07张鹏《DJ-GZ2010-0177》增加4台,2010,2010-12-7,,,,,,
100,HTB03A型变频调速异步电动机-2,HTB03A,DJ03A0002,,2010,2010-7-19,,,,,
101,HTB03A型变频调速异步电动机-3,HTB03A,DJ03A0003,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
102,HTB03A型变频调速异步电动机-4,HTB03A,DJ03A0004,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-7,,,,,
103,HTB03A型变频调速异步电动机-5,HTB03A,DJ03A0005,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
104,HTB03A型变频调速异步电动机-6,HTB03A,DJ03A0006,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
105,HTB03A型变频调速异步电动机-7,HTB03A,DJ03A0007,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
106,HTB04A型变频调速异步电动机-2,HTB04A,DJ04A0002,,2010,2010-7-19,,,,,
107,HTB05A型变频调速异步电动机-5,HTB05A,DJ05A0005,2010-8-12完成材料清单，准备配套缅甸ZJ70DBS项目,2010,2010-7-19,,,,,
108,HTB05A型变频调速异步电动机-6,HTB05A,DJ05A0006,2010-8-12完成材料清单，准备配套缅甸ZJ70DBS项目,2010,2010-7-19,,,,,
109,HTB05A型变频调速异步电动机-7,HTB05A,DJ05A0007,,2010,2010-7-19,,,,,
110,HTB05A型变频调速异步电动机-8,HTB05A,DJ05A0008,,2010,2010-7-19,,,,,
111,HTB05A型变频调速异步电动机-9,HTB05A,DJ05A0009,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
112,HTB05A型变频调速异步电动机-10,HTB05A,DJ05A0010,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
113,HTB05A型变频调速异步电动机-11,HTB05A,DJ05A0011,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
114,HTB05A型变频调速异步电动机-12,HTB05A,DJ05A0012,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
115,HTB05A型变频调速异步电动机-13,HTB05A,DJ05A0013,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
116,HTB05A型变频调速异步电动机-14,HTB05A,DJ05A0014,2010.09.07《总调室（2010）第（01009）号》通知排产,2010,2010-9-2,,,,,
117,HTB05A型变频调速异步电动机-15,HTB05A,DJ05A0015,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
118,HTB05A型变频调速异步电动机-16,HTB05A,DJ05A0016,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
119,HTB05A型变频调速异步电动机-17,HTB05A,DJ05A0017,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
120,HTB05A型变频调速异步电动机-18,HTB05A,DJ05A0018,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
121,HTB05A型变频调速异步电动机-19,HTB05A,DJ05A0019,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
122,HTB05A型变频调速异步电动机-20,HTB05A,DJ05A0020,2010.09.07《总调室（2010）第（01009）号》通知排产，电机组65号联系单完成材料单,2010,2010-9-6,,,,,
123,HTB05A型变频调速异步电动机-21,HTB05A,DJ05A0021,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
124,HTB05A型变频调速异步电动机-22,HTB05A,DJ05A0022,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
125,HTB05A型变频调速异步电动机-23,HTB05A,DJ05A0023,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
126,HTB05A型变频调速异步电动机-24,HTB05A,DJ05A0024,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
127,HTB05A型变频调速异步电动机-25,HTB05A,DJ05A0025,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
128,HTB05A型变频调速异步电动机-26,HTB05A,DJ05A0026,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
129,HTB05A型变频调速异步电动机-27,HTB05A,DJ05A0027,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
130,HTB05A型变频调速异步电动机-28,HTB05A,DJ05A0028,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
131,HTB05A型变频调速异步电动机-29,HTB05A,DJ05A0029,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
132,HTB05A型变频调速异步电动机-30,HTB05A,DJ05A0030,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
133,HTB05A型变频调速异步电动机-31,HTB05A,DJ05A0031,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
134,HTB05A型变频调速异步电动机-32,HTB05A,DJ05A0032,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
135,HTB05A型变频调速异步电动机-33,HTB05A,DJ05A0033,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
136,HTB05A型变频调速异步电动机-34,HTB05A,DJ05A0034,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
137,HTB05A型变频调速异步电动机-35,HTB05A,DJ05A0035,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
138,HTB05A型变频调速异步电动机-36,HTB05A,DJ05A0036,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
139,HTB05A型变频调速异步电动机-37,HTB05A,DJ05A0037,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
140,HTB05A型变频调速异步电动机-38,HTB05A,DJ05A0038,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
141,HTB05A型变频调速异步电动机-39,HTB05A,DJ05A0039,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
142,HTB05A型变频调速异步电动机-40,HTB05A,DJ05A0040,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
143,HTB05A型变频调速异步电动机-41,HTB05A,DJ05A0041,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
144,HTB05A型变频调速异步电动机-42,HTB05A,DJ05A0042,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
145,HTB05A型变频调速异步电动机-43,HTB05A,DJ05A0043,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
146,HTB05A型变频调速异步电动机-44,HTB05A,DJ05A0044,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
147,HTB05A型变频调速异步电动机-45,HTB05A,DJ05A0045,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
148,HTB05A型变频调速异步电动机-46,HTB05A,DJ05A0046,2010.11.23袁亚芬《DJ-GZ2010-0156》增加6台用于欧亚项目,2010,2010-11-23,,,,,
149,HTB05D型变频调速异步电动机-1,HTB05D,DJ05D0001,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
150,HTB05D型变频调速异步电动机-2,HTB05D,DJ05D0002,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
151,HTB06A型变频调速异步电动机-3,HTB06A,DJ06A0003,2010-8-12完成材料清单，准备配套油气田公司ZJ70DBS项目,2010,2010-7-19,,,,,
152,HTB06A型变频调速异步电动机-4,HTB06A,DJ06A0004,2010-8-12完成材料清单，准备配套油气田公司ZJ70DBS项目,2010,2010-7-19,,,,,
153,HTB06A型变频调速异步电动机-5,HTB06A,DJ06A0005,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
154,HTB06A型变频调速异步电动机-6,HTB06A,DJ06A0006,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
155,HTB06A型变频调速异步电动机-7,HTB06A,DJ06A0007,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
156,HTB06A型变频调速异步电动机-8,HTB06A,DJ06A0008,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
157,HTB06A型变频调速异步电动机-9,HTB06A,DJ06A0009,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
158,HTB06A型变频调速异步电动机-10,HTB06A,DJ06A0010,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
159,HTB06A型变频调速异步电动机-11,HTB06A,DJ06A0011,2010.11.04曾亮通知增加,2010,2010-11-4,,,,,
160,HTB06A型变频调速异步电动机-12,HTB06A,DJ06A0012,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
161,HTB06A型变频调速异步电动机-13,HTB06A,DJ06A0013,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
162,HTB06A型变频调速异步电动机-14,HTB06A,DJ06A0014,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
163,HTB06A型变频调速异步电动机-15,HTB06A,DJ06A0015,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
164,HTB06A型变频调速异步电动机-16,HTB06A,DJ06A0016,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
165,HTB06A型变频调速异步电动机-17,HTB06A,DJ06A0017,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
166,HTB06A型变频调速异步电动机-18,HTB06A,DJ06A0018,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
167,HTB06A型变频调速异步电动机-19,HTB06A,DJ06A0019,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
168,HTB06A型变频调速异步电动机-20,HTB06A,DJ06A0020,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
169,HTB06A型变频调速异步电动机-21,HTB06A,DJ06A0021,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
170,HTB06A型变频调速异步电动机-22,HTB06A,DJ06A0022,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
171,HTB06A型变频调速异步电动机-23,HTB06A,DJ06A0023,2010.11.23袁亚芬《DJ-GZ2010-0156》增加12台用于欧亚项目,2010,2010-11-23,,,,,
172,HTB06A型变频调速异步电动机-24,HTB06A,DJ06A0024,2010.12.02张鹏《DJ-GZ2010-0171》增加2台,2010,2010-12-2,,,,,,
173,HTB06A型变频调速异步电动机-25,HTB06A,DJ06A0025,2010.12.02张鹏《DJ-GZ2010-0171》增加2台,2010,2010-12-2,,,,,,
174,HTB06C型变频调速异步电动机-1,HTB06C,DJ06C0001,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
175,HTB06D型变频调速异步电动机-1,HTB06D,DJ06D0001,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
176,HTB12G型变频调速异步电动机-1,HTB12G,DJ12G0001,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
177,HTB12G型变频调速异步电动机-2,HTB12G,DJ12G0002,2010.09.16《总调室（2010）第（01060）号》通知排产,2010,2010-9-15,,,,,
178,HTB15型变频调速异步电动机-1,HTB15,DJ0150001,2010.09.16《总调室（2010）第（01060）号》通知排产。2010-9-20下材料单,2010,2010-9-15,,,,,
179,HTB26型变频调速异步电动机-1,HTB26,DJ0260001,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101469，用于配套直驱顶驱DQ120BZ。2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10004458。配套DQ120BZ直驱顶驱-1，生产令号：HT10048,2010,2010-7-2,,,,,
180,HTB26型变频调速异步电动机-2,HTB26,DJ0260002,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101469，用于配套直驱顶驱DQ120BZ2010-7-29《商务部（2010）第（00355）号》，宏华生产指令:10004458。配套DQ120BZ直驱顶驱-2，生产令号：HT10049,2010,2010-7-2,,,,,
181,HTB30型变频调速异步电动机-1,HTB30,DJ0300001,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101469，用于配套直驱顶驱DQ90BZ,2010,2010-7-2,,,,,
182,HTB30型变频调速异步电动机-2,HTB30,DJ0300002,2010-7-2商务部（2010）第（00296）号》商务合同号：JZ101469，用于配套直驱顶驱DQ90BZ,2010,2010-7-2,,,,,
183,HTB31型变频调速异步电动机-1,HTB31,DJ0310001,2010-7-8商务部（2010）第（00306）号》 振华购买我司2台30kW俯仰马达用于缅甸MITT桥吊项目,2010,2010-7-12,2010-9-29全部完工好从广汉电机部拉回成都发运,,,,
