序号,项目名称,型号,生产令号,备注,令号年份,添加时间,
43,长城公司ZJ50DBS-1,ZJ50DBS,SZ50DBS06017T,,2006,2006-3-1,
44,长城公司ZJ50DBS-2,ZJ50DBS,SZ50DBS06018T,,2006,2006-3-1,
45,吐哈ZJ50L-1,ZJ50L,SZ50L0606019T,,2006,2006-3-1,
46,吐哈ZJ50L-2,ZJ50L,SZ50L06020T,,2006,2006-3-1,
47,吐哈ZJ40L-3,ZJ40L,SZ40L06021T,,2006,2006-3-1,
48,华北油田ZJ70LDB,ZJ70LDB,SZ70LDB06022T,,2006,2006-3-1,
49,华东石油局ZJ40L,ZJ40L,SZ40L06034T,,2006,2006-3-1,
50,长城公司ZJ50DBS-3,ZJ50DBS,SZ50DBS06035T,,2006,2006-3-1,
51,长城公司ZJ40DBS-1,ZJ40DBS,SZ40DBS06036T,,2006,2006-3-1,
52,长城公司ZJ40DBS-2,ZJ40DBS,SZ40DBS06037T,,2006,2006-3-1,
53,印度QUIPO公司ZJ40DBST,ZJ40DBST,SZ40DBST06038T,,2006,2006-3-1,
54,滇黔桂ZJ50LDB,ZJ50LDB,SZ50LDB06039T,,2006,2006-3-1,
55,中技开ZJ50DBS-1,ZJ50DBS,SZ50DBS06040T,,2006,2006-3-1,
56,中技开ZJ50DBS-2,ZJ50DBS,SZ50DBS06041T,,2006,2006-3-1,
57,中技开ZJ50DBS-3,ZJ50DBS,SZ50DBS06042T,,2006,2006-3-1,
58,中技开ZJ70D,ZJ70D,SZ70D06043T,,2006,2006-3-1,
59,苏丹Dindir公司ZJ40DB,ZJ40DB,SZ40DB06044T,,2006,2006-3-1,
60,川东钻探ZJ70L-ZPD,ZJ70L-ZPD,SZ70LDB06045T,,2006,2006-3-1,
61,越南ZJ70DBS,ZJ70DBS,SZ70DBS06046T,,2006,2006-3-1,
62,俄罗斯欧亚钻井公司ZJ50DBS-1,ZJ50DBS,SZ50DBS06047T,,2006,2006-3-1,
63,川西钻探ZJ40J-1,ZJ40J,SZ40J06048T,,2006,2006-3-1,
64,川西钻探ZJ40J-2,ZJ40J,SZ40J06049T,,2006,2006-3-1,
65,川西钻探ZJ40J-3,ZJ40J,SZ40J06050T,,2006,2006-3-1,
66,川局塔二堪ZL70LDB-5,ZL70LDB,SZ70ZPD06051T,,2006,2006-3-1,
67,川局塔二堪ZJ70LDB-6,ZL70LDB,SZ70ZPD06052T,,2006,2006-3-1,
68,川局塔二堪ZJ70LDB-7,ZL70LDB,SZ70ZPD06053T,,2006,2006-3-1,
69,川局(川东钻探)ZJ70LZPD-1,ZJ70LZPD,SZ70ZPD06057T,,2006,2006-3-1,
70,川局(川东钻探)ZJ70LZPD-2,ZL70LZPD,SZ70ZPD06067T,,2006,2006-3-1,
71,川局(川东钻探)ZJ70LZPD-3,ZL70LZPD,SZ70ZPD06068T,,2006,2006-3-1,
72,川局川东ZJ70LDB-4,ZL70LDB,SZ70ZPD06069T,,2006,2006-3-1,
73,大庆井下作业ZJ50DBS,ZJ50DBS,SZ50DBS06058T,,2006,2006-3-1,
74,中石化西南局ZJ70DBS-1,ZJ70DBS,SZ70DBS06059T,,2006,2006-3-1,
75,中石化西南局ZJ70DBS-2,ZJ70DBS,SZ70DBS06060T,,2006,2006-3-1,
76,中石化胜利渤海ZJ70DBS-3,ZJ70DBS,SZ70DBS06061T,,2006,2006-3-1,
77,俄罗斯西伯利亚ZJ30DBS,ZJ30DBS,SZ30DBS06062T,,2006,2006-3-1,
78,中技开ZJ50DBS-4,ZJ50DBS,SZ50DBS06063T,,2006,2006-3-1,
79,中技开ZJ50DBS-5,ZJ50DBS,SZ50DBS06064T,,2006,2006-3-1,
80,埃及中萨公司ZJ70DBS,ZJ70DBS,SZ70DBS06065T,,2006,2006-3-1,
81,巴西ATI项目ZJ70DBS-1,ZJ70DBS,SZ70DBS06066T,,2006,2006-3-1,
82,美国NABORS 574-2,,HT574NA061214,,2006,2006-3-1,
83,美国NABORS 574-3,,HT574NA061217,,2006,2006-3-1,
84,川局(川西钻探)ZJ70LDB-2,ZJ70LDB,SZ70ZPD06067T,,2006,2006-3-1,
85,川局(川东钻探)ZL70LDB-3,ZL70LDB,SZ70ZPD06068T,,2006,2006-3-1,
86,华东石油局ZJ70DBS-1,ZJ70DBS,SZ70DBS06070T,,2006,2006-3-1,
87,中原钻井1公司F320改造,F320改造,HTF320ZY061201,,2006,2006-3-1,
88,川西钻探公司ZJ40DBS-J后场改造-3,ZJ40DBS-J,SB40DBST06375T,,2006,2006-3-1,
89,中石化西南局ZJ70DBS-3,ZJ70DBS,SZ70DBS06071T,,2006,2006-3-1,
90,中石化华北石油局三普ZJ50L-1,ZJ50L,SZ50L06072T,,2006,2006-3-1,
91,中石化华北石油局五普ZJ50L-2,ZJ50L,SZ50L06073T,,2006,2006-3-1,
92,俄罗斯钻机系统系统公司ZJ30L,ZJ30L,SZ30L06074T,,2006,2006-3-1,
93,美国NABORS ZJ50DBS-37,ZJ50DBS,SZ50DBS06075T,,2006,2006-3-1,
94,美国NABORS ZJ50DBS-39,ZJ50DBS,SZ50DBS06076T,,2006,2006-3-1,
95,美国NABORS ZJ50DBS-40,ZJ50DBS,SZ50DBS06077T,,2006,2006-3-1,
96,美国NABORS ZJ50DBS-33,ZJ50DBS,SZ50DBS06078T,,2006,2006-3-1,
97,美国NABORS ZJ50DBS-34,ZJ50DBS,SZ50DBS06079T,,2006,2006-3-1,
98,美国NABORS ZJ50DBS-35,ZJ50DBS,SZ50DBS06080T,,2006,2006-3-1,
99,美国NABORS ZJ50DBS-36,ZJ50DBS,SZ50DBS06081T,,2006,2006-3-1,
100,美国NABORS ZJ50DBS-38,ZJ50DBS,SZ50DBS06082T,,2006,2006-3-1,
101,乌兹别克Eriell公司ZJ70LDB-1,ZJ70LDB,SZ70LDB06093T,,2006,2006-3-1,
102,川局ZJ70LDB-1,ZJ70LDB,SZ70LDB06094T,,2006,2006-3-1,
103,乌兹别克Eriell公司ZJ70LDB-2,ZJ70LDB,SZ70LDB06095T,,2006,2006-3-1,
104,海隆石油技术服务公司ZJ50DBS-1,ZJ50DBS,SZ50DBS06096T,,2006,2006-3-1,
