序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,,,,,
12,油气田ZJ50LDB,ZJ50LDB,HT11012,2011-02-24《总调度室（2011）第（00224）号》。备用ZJ70LDB项目（生产令号：SZ70LDB08134T）配套给油气公司，该项目司钻房已经挪用给川西ZJ50L钻机改造-2（50636）HT10054使用，现需补齐该司钻房。宏华生产令号：X11010220。JZ111917,2011,2011-2-24,,技术部负责人：设计二室,,,,,,
13,泥浆泵试车装置VFD房整改,,HT11013,2011-03-02《商务部（2011）第（00134）号》,2011,2011-3-3,,,总调室负责人：羊慕倪,,,,,
14,俄罗斯GDS视频系统,,HT11014,2011-03-07《商务部（2011）第（00143）号》，2011-03-08《总调度室（2011）第（00298）号》,2011,2011-3-7,,技术部负责人：设计二室,,房顺林,,,,
15,抽屉项目KJS110056,,HT11015,包括2个160A抽屉,2011,2011-3-9,,,总调室负责人：羊慕倪,,,,,
16,抽屉项目KJS110170,,HT11016,包括1个50HP抽屉和1个100HP抽屉,2011,2011-3-9,,,总调室负责人：羊慕倪,,,,,
17,抽屉项目KJS110155,,HT11017,包括1个160A抽屉、1个100A抽屉、1个200A抽屉,2011,2011-3-9,,,总调室负责人：羊慕倪,,,,,
18,川庆单机泵电传动系统,,HT11018,2011-03-09《商务部（2011）第（00144）号》，2011-03-09《总调度室（2011）第（00288）号》,2011,2011-3-9,集团外,,总调室负责人：羊慕倪,,,,,
19,6000HP压裂泵测试平台,,HT11019,2011-03-15《总调度室（2011）第（00321）号》,2011,2011-3-15,,,总调室负责人：杨依萍,供应部负责人：刘亮,,,,
20,康菲PL19-3供电系统改造,,HT11020,2011-04-01《总调度室（2011）第（00396）号》,2011,2011-4-2,集团外,,总调室负责人：江强,,,,,
21,长城ZJ40DB,ZJ40DB,HT11021,2011-04-02《商务部（2011）第（00173）号》，2011-04-01《总调度室（2011）第（00396）号》,2011,2011-4-2,集团外,,总调室负责人：江强,,,,,
22,低温液压站控制箱-1～3,,HT11022,2011-05-05《商务部（2011）第（     ）号》，2011-05-06《总调度室（2011）第（00543）号》，2011-04-02《商务部（2011）第（00414）号》JZ112096,2011,2011-5-5,,技术部：设计三室,总调室负责人：羊慕倪,,,,,
23,渤海ZJ70DB,ZJ70DB,HT11023,2011-04-18《商务部（2011）第（00197）号》，2011-04-18《总调度室（2011）第（00453）号》，2011-05-09《商务部（2011）第（11343）号》变更名称》，2011-05-11《总调度室（2011）第（00563）号》,2011,2011-4-18,集团外,,总调室负责人：刘俊,供应部负责人：刘亮,,,,
24,渤海ZJ50LDB-2,ZJ50LDB,HT11024,2011-04-18《商务部（2011）第（00197）号》，2011-04-18《总调度室（2011）第（00453）号》，2011-05-09《商务部（2011）第（11343）号》取消该套,2011,2011-4-18,,,总调室负责人：刘俊,供应部负责人：刘亮,,,,
25,海隆ZJ50DBS电控系统改造,,HT11025,2011-04-20《商务部（2011）第（00320）号》，2011-04-21《总调度室（2011）第（00478）号》,2011,2011-4-20,集团外,,总调室负责人：刘俊,,,技术部负责人：电气一室,,
26,俄罗斯视频监视系统（低温）-1,,HT11026,2011-05-04《商务部（2011）第（11336）号》，2011-05-04《总调度室（2011）第（00531）号》,2011,2011-5-4,,,总调室负责人：羊慕倪,,,,,
27,俄罗斯视频监视系统（低温）-2,,HT11027,2011-05-04《商务部（2011）第（11336）号》，2011-05-04《总调度室（2011）第（00531）号》,2011,2011-5-4,,,总调室负责人：羊慕倪,,,,,
28,俄罗斯视频监视系统（低温）-3,,HT11028,2011-05-04《商务部（2011）第（11336）号》，2011-05-04《总调度室（2011）第（00531）号》,2011,2011-5-4,,,总调室负责人：羊慕倪,,,,,
29,渤海ZJ40DB,ZJ40DB,HT11029,2011-05-10《总调度室（2011）第（00559）号》，2011-05-11《商务部（2011）第（00345）号》,2011,2011-5-10,集团外,技术部负责人：王延明,总调室负责人：张凤军,,,,,
30,油改电项目-1,,HT11030,2011-05-10《总调度室（2011）第（00559）号》,2011,2011-5-10,,技术部：王亮,总调室负责人：羊慕倪,供应部负责人：李枫,,,,
31,伸缩式喷漆房防爆电控系统,,HT11031,2011-05-30《商务部（2011）第（00363）号》，2011-06-01《总调度室（2011）第（00660）号》。JZ112554,2011,2011-5-30,,,总调室负责人：羊慕倪,,,,,
32,5NB2400GZ钻井泵独立变频控制房,,HT11032,2011-07-05《研发部设备一室YFB-SB-11-076》，2011-07-05《总调度室（2011）第（00772）号》，2011-07-06《商务部（2011）第（00531）号》，HTB27电机合同号：JZ112889，宏华泵部件编号：Q11001239，2012-3-31《商务部（2012）第（00276）号》JZ121616,2011,2011-7-5,,技术部：崔生科,总调室负责人：温泉 ,,,,,
33,哥伦比亚ZJ40DBST猫道电气控制系统,,HT11033,2011-07-06《商务部（2011）第（00530）号》，2011-07-29《商务部（2011）第（00580）号》。合同HTXQ11034,2011,2011-7-15,,,总调室负责人：江强,,,,,
34,友信母排板,,HT11034,2011-07-07《商务部（2011）第（00534）号》。HTXQ11-030,2011,2011-7-8,,,总调室负责人：江强,,,,,
35,吉林大学ZJ70DBS,ZJ70DBS,HT11035,2011-06-29《商务部（2011）第（00415）号》，2011-07-18《商务部（2011）第（00511）号》，2011-07-20《总调度室（2011）第（00817）号》，VFD房采用埃宏ZJ70DBS-1（X10051221），其他新做。2011-08-16《商务部（2011）第（00613）号》取消,2011,2011-6-30,,,总调室负责人：江强,质量部负责人：俞萃,,,,
36,西南局50D改造,ZJ50D,W11004214,2011-07-11《商务部（2011）第（WXH002）号》，2011-07-20《总调度室（2011）第（00813）号》，2011-07-27《总调度室（2011）第（00837）号》,2011,2011-7-21,,技术部负责人：王亮,总调室负责人：温泉,,,,,
37,西南局50D钻机SCR电控系统,ZJ50D,HT11036,2011-07-11《商务部（2011）第（WXH002）号》，2011-07-20《总调度室（2011）第（00813）号》，2011-07-27《总调度室（2011）第（00837）号》取消该令号,2011,2011-7-21,,,,,,,,
38,渤海钻探制动单元改造,,HT11037,2011-07-26《商务部（2011）第（00568）号》、《商务部（2011）第（00569）号》，2011-07-27《总调度室（2011）第（00833）号》,2011,2011-7-27,集团外,,总调室负责人：江强,,,,,
39,中海油服ZJ70D,ZJ70D,HT11038,2011-07-26《商务部（2011）第（00571）号》，对应宏华：X10024219。SCR房体采用HT0903，司钻房体采用HT0902。2011-07-27《总调度室（2011）第（00835）号》。2011-10-13《商务部（2011）第（00792）号》，合同号：JZ113199,2011,2011-7-27,,技术部负责人：王亮,总调室负责人：张凤军,,,,,
40,塔四堪电机维修2011,,HT11039,2011-07-28《商务部（2011）第（00577）号》,2011,2011-7-27,集团外,,,,,,,
41,苏丹ZJ50DBS,ZJ50DBS,HT11040,VFD房、MCC房和司钻房采用俄罗斯北方钻井ZJ50DBS-5,2011,2011-7-28,,技术部负责人：张俊波,总调室负责人：江强,,,,,
42,中石油川庆公司川西钻探 （苏丹备用项目）ZJ70DBS,ZJ70DBS,HT11041,VFD房和司钻房采用埃宏ZJ70DBS-1。宏华生产令号：X10051221（吉林大学ZJ70DBS）。2011-11-07《商务部（2011）第（00827）号》，2011-12-21《商务部（2011）第（00866）号》JZ103570,2011,2011-7-28,,技术部负责人：张俊波,总调室负责人：江强,,,,,
43,宏海45吨电磁装卸桥,,HT11042,2012-3-19邓工电话通知不做,2011,2011-8-3,,,总调室负责人：温泉,,,,,
44,宏海基地配电箱,,HT11043,2011-12-28《商务部（2011）第（00891）号》,2011,2011-8-3,,,总调室负责人：温泉,,,,,
45,宏海200吨双梁行车,,HT11044,,2011,2011-8-3,,,总调室负责人：温泉,,,,,
46,宏海400吨龙门行车,,HT11045,,2011,2011-8-3,,,总调室负责人：温泉,,,,,
47,宏海40吨门座机,,HT11046,2012-3-19邓工电话通知不做,2011,2011-8-3,,,总调室负责人：温泉,,,,,
48,川西ZJ40J盘刹改造-1,ZJ40J,HT11047,2011-08-05《商务部（2011）第（00589）号》，2011-08-08《总调度室（2011）第（00886）号》，对应宏华生产令号：W11005207，合同号：JZ112879,2011,2011-8-9,,技术部负责人：房顺林,总调室负责人：温泉,,,,,
49,川西ZJ40J盘刹改造-2,ZJ40J,HT11048,2011-08-05《商务部（2011）第（00589）号》，2011-08-08《总调度室（2011）第（00886）号》，对应宏华生产令号：W11006207，合同号：JZ112880,2011,2011-8-9,,技术部负责人：房顺林,总调室负责人：温泉,,,,,
50,渤海石油钻探自动猫道系统,,HT11049,2011-08-25《商务部（2011）第（00626）号》，2011-08-26《总调度室（2011）第（00972）号》，合同号：HTXQ11040,2011,2011-8-29,,,总调室负责人：羊慕倪,,,,,
51,川庆塔二堪ZJ70LDB-1,ZJ70LDB,HT11050,2011-08-31《商务部（2011）第（00633）号》，合同号：JZ112800,2011,2011-8-31,,技术部负责人：黄登亮,总调室负责人：羊慕倪,,,,,
52,川庆塔二堪ZJ70LDB-2,ZJ70LDB,HT11051,2011-08-31《商务部（2011）第（00633）号》，合同号：JZ113552,2011,2011-8-31,,技术部负责人：黄登亮,总调室负责人：羊慕倪,,,,,
53,备用ZJ70DBS-8,ZJ70DBS,HT11054,2011-09-07《总调度室（2011）第（01025）号》，最终未投产,2011,2011-9-7,,技术部负责人：骆辉亮,总调室负责人：江强,,,,,
54,捷乌DQ450DBZ直驱顶驱-1,DQ70BZ,HT11055,2011-09-07《英语市场组零部件营销中心20110906-1捷乌5台70顶驱项目启动事宜》，《商务部（2011）第（00749）号》，2011-09-07《总调度室（2011）第（01029）号》。对应宏华生产订单号：10021309,2011,2011-9-7,,技术部负责人：贺小华,总调室负责人：羊慕倪,,,,,
55,捷乌DQ450DBZ直驱顶驱-2,DQ70BZ,HT11056,2011-09-07《英语市场组零部件营销中心20110906-1捷乌5台70顶驱项目启动事宜》，《商务部（2011）第（00749）号》，2011-09-07《总调度室（2011）第（01029）号》。对应宏华生产订单号：10025626,2011,2011-9-7,,技术部负责人：贺小华,总调室负责人：羊慕倪,,,,,
56,捷乌DQ450DBZ直驱顶驱-3,DQ70BZ,HT11057,2011-09-07《英语市场组零部件营销中心20110906-1捷乌5台70顶驱项目启动事宜》，《商务部（2011）第（00749）号》，2011-09-07《总调度室（2011）第（01029）号》。对应宏华生产订单号：10025630,2011,2011-9-7,,技术部负责人：贺小华,总调室负责人：羊慕倪,,,,,
57,捷乌DQ450DBZ直驱顶驱-4,DQ70BZ,HT11058,2011-09-07《英语市场组零部件营销中心20110906-1捷乌5台70顶驱项目启动事宜》，《商务部（2011）第（00749）号》，2011-09-07《总调度室（2011）第（01029）号》。对应宏华生产订单号：10025631,2011,2011-9-7,,技术部负责人：贺小华,总调室负责人：羊慕倪,,,,,
58,捷乌DQ450DBZ直驱顶驱-5,DQ70BZ,HT11059,2011-09-07《英语市场组零部件营销中心20110906-1捷乌5台70顶驱项目启动事宜》，《商务部（2011）第（00749）号》，2011-09-07《总调度室（2011）第（01029）号》。对应宏华生产订单号：10030608,2011,2011-9-7,,技术部负责人：贺小华,总调室负责人：羊慕倪,,,,,
59,2011宏华HTB05A电机维修-1,,HT11060,2011-09-09《电机设计组（2011）第（00184）号》，共3台（2台03A、1台05A）。《商务部（2012）第（00033）号》，变更为4台05A，含合同号：JZ114458中1台、合同号：JZ114457中3台,2011,2011-09-13。2012-02-08修改,,,,,,,,
60,备用ZJ70LDB-1(塔二堪ZJ70LDB),ZJ70LDB,HT11061,2011-09-14《总调度室（2011）第（01048）号》。2011-11-24《总调度室（2011）第（01308）号》。宏华令号：X11038219。2012-03-12《商务部（2012）第（00192）号》合同号：JZ121101,2011,2011-9-13,,,总调室负责人：温泉,,,,,
61,泰国ZJ30T通讯系统,,HT11062,2011-09-16《商务部（2011）第（00759）号》，2011-10-10《商务部（2011）第（00612）号》，合同号：JZ113179,2011,2011-9-15,,,总调室负责人：羊慕倪,,,,,
62,备用ZJ70LDB-2（川西ZJ50LDB）,ZJ70LDB,HT11063,2011-09-20《总调度室（2011）第（01070）号》，2012-2-10《总调度室（2012）第（00130）号》。2012-03-12《商务部（2012）第（00193）号》，2012-10-10《商务部（2012）第（1010）号》合同号：JZ125472,2011,2011-9-20,,技术负责人：鲜涛,总调室负责人：温泉,商务负责人：熊桃伟,,,,
63,泰国ZJ30T气源房电气配套,,HT11064,2011-09-21《商务部（2011）第（00770）号》，2011-09-21《总调度室（2011）第（01077）号》。宏华令号：Q11018217，2011-10-10《商务部（2011）第（00612）号》，合同号：JZ113178,2011,2011-9-21,,,,,,,,
64,备用ZJ70DBS-9（川庆大修ZJ70DBS新制）,ZJ70DBS,HT11065,2011-09-26《总调度室（2011）第（01096）号》。2011-11-24《总调度室（2011）第（01308）号》,2011,2011-9-26,,,总调室负责人：温泉,,供应部负责人：赵娟,,,
65,备用ZJ70DBS-10（川庆国际ZJ70DBS-1）,ZJ70DBS,HT11066,2011-09-26《总调度室（2011）第（01096）号》，2011-09-28《总调度室（2011）第（01114）号》。2011-11-24《总调度室（2011）第（01308）号》。宏华令号：X11004233。2012-03-12《商务部（2012）第（00192）号》合同号：JZ121034,2011,2011-9-26,,,总调室负责人：温泉,,供应部负责人：赵娟,,,
66,俄罗斯ZJ40CZ气源房电气配套,ZJ40CZ,HT11067,2011-09-27《商务部（2011）第（00780）号》，2011-09-27《总调度室（2011）第（01104）号》。宏华令号：X10069238。订单被录入9000300，2012-01-09《商务部（2011）第（00897）号》JZ120044,2011,2011-9-27,,,,,,,,
67,吉林大学高压变电房,,HT11069,2011-12-02《商务部（2011）第（00865）号》,2011,2011-11-22,,,,,,,,
68,备用ZJ70DBS-11（川庆国际ZJ70DBS-2）,ZJ70DBS,HT11070,2011-11-24《总调度室（2011）第（01308）号》。宏华令号：X11056221。2012-03-12《商务部（2012）第（00192）号》合同号：JZ121035,2011,2011-11-24,,,总调室负责人：温泉,,,,,
69,备用ZJ70D-4（阿塞拜疆ZJ50D-2）,ZJ70D,HT11071,2011-11-24《总调度室（2011）第（01308）号》，2012-04-28《总调度室（2011）第（00512）号》，2012-4-28《商务部（2012）第（0428316）号》，HH令号X12064214。2012-7-11《商务部（2012）第（0711）号》合同号：JZ123632,2011,2011-11-24,序列号已编制,技术部负责人：设计二室 王亮,总调室负责人：温泉,,,,,
70,油改电项目-2,,HT11072,2011-11-24《总调度室（2011）第（01308）号》,2011,2011-11-24,,技术部：王亮,总调室负责人：羊慕倪,供应部负责人：李枫,,,,
71,油改电项目-3,,HT11073,2011-11-24《商务部（2011）第（00850）号》，2011-11-24《总调度室（2011）第（01308）号》,2011,2011-11-24,,技术部：王亮,总调室负责人：羊慕倪,供应部负责人：李枫,,,,
72,油改电项目-4,,HT11074,2011-11-24《商务部（2011）第（00850）号》，2011-11-24《总调度室（2011）第（01308）号》,2011,2011-11-24,,技术部：王亮,总调室负责人：羊慕倪,供应部负责人：李枫,,,,
73,油改电项目-5,,HT11075,2011-11-24《商务部（2011）第（00850）号》，2011-11-24《总调度室（2011）第（01308）号》,2011,2011-11-24,,技术部：王亮,总调室负责人：羊慕倪,供应部负责人：李枫,,,,
74,NABORS储备罐、燃油罐电气配套,,HT11076,2011-12-08《商务部（2011）第（00872）号》，2011-12-09《总调度室（2011）第（01372）号》，2011-12-26《商务部（2011）第（00889）号》JZ114453,2011,2011-12-9,,,,,,,,
75,备用ZJ70DBS-12（川庆ZJ80DBS-1）,ZJ70DBS,HT11077,2011-12-14《总调度室（2011）第（01390）号》，2012-4-18《总调度室（2012）第（00454）号》，2012-04-26《商务部（2012）第（0426400）号》，HH令号:X12052250，2012-09-10《商务部（2012）第（0910）号》合同号JZ125028,2011,2011-12-14,序列号已编制,,总调室负责人：温泉,,,,,
76,备用ZJ70DBS-13,ZJ70DBS,HT11078,2011-12-14《总调度室（2011）第（01390）号》,2011,2011-12-14,,,总调室负责人：温泉,,,,,
77,西南局电机维修2011,,HT11079,2011-12-16《电机部（2011）第（00232）号》，2011-12-27《商务部（2011）第（00890）号》,2011,2011-12-16,集团外,,,,,,,
78,伊日德利尔ZJ30T液压站控制箱,,HT11080,2011-12-19《设备配件班HH供应2011121501关于伊日30T液压站控制箱的生产通知》，2011-12-19《总调度室（2011）第（01412）号》，2011-12-19《商务部（2011）第（00882）号》,2011,2011-12-19,,,,,,,,
79,渤海ZJ70DB-2,ZJ70DB,HT11081,2012-01-06《商务部（2012）第（00001）号》，2012-1-9《总调度室（2012）第（00016）号》,2011,2011-12-20,集团外,,总调室负责人：温泉,供应部负责人：谢同花,,,,
80,渤海ZJ70DB-3,ZJ70DB,HT11082,2012-01-06《商务部（2012）第（00001）号》，2012-1-9《总调度室（2012）第（00016）号》,2011,2011-12-20,集团外,,总调室负责人：温泉,供应部负责人：谢同花,,,,
81,CCC认证柜体,,HT11083,2012-1-4《总调度室（2011）第（00001）号》,2011,2012-1-4,,,,,,,,
82,2011宏华HTB03A电机维修-1,,HT11084,2011-09-09《电机设计组（2011）第（00184）号》，共3台（2台03A）。《商务部（2012）第（00033）号》，变更为2台03A，合同号：JZ114458,2011,2011-09-13。2012-02-08修改,,,,,,,,
83,2011宏华HTB02B电机维修-1,,HT11085,共2台。《商务部（2012）第（00033）号》，合同号：JZ114457,2012,2012-2-8,,,,,,,,
84,2011宏华HTB06A电机维修-1,,HT11086,共2台。《商务部（2012）第（00033）号》，合同号：JZ114457,2012,2012-2-8,,,,,,,,
85,2011宏华HTB03B电机维修-1,,HT11087,共1台。《商务部（2012）第（00033）号》，合同号：JZ114457,2012,2012-2-8,,,,,,,,
86,吉林大学ZJ90DBS,ZJ90DBS,X11033222,2011-08-16《商务部（2011）第（00613）号》,2011,2011-8-16,,,总调室负责人：江强,技术部负责人：张俊波,,,,
87,苏丹井架底座泵组改造,,W11003217,2011-04-08《商务部（2011）第（00181）号》，2011-04-10《总调度室（2011）第（00430）号》JZ111920,2011,2011-4-10,,,总调室负责人：羊慕倪,,,技术部负责人：袁帅,,
88,HTB34型变频调速异步电动机-1,HTB34,DJ03411001,2011-01-25《电机设计组（2011）第（00019）号》。本批次含3台电机，配套宏华5NB2400G五缸直驱泥浆泵，合同号：JZ112890,2011,2011-1-25,,,,,,,,
89,HTB02型变频调速异步电动机-1,HTB02,DJ00211001,2011-02-23《电机设计组（2011）第（00039）号》。本批次含2台电机，2011-02-23《总调度室（2011）第（00211）号》，2011-03-03《DJ-GZ2011-0048》通知改为4台,2011,2011-2-23,,,,,,,,
90,HTB02型变频调速异步电动机-2,HTB02,DJ00211002,2011-04-27《电机设计组（2011）第（00083）号》。本批次含5台电机,2011,2011-4-28,,,,,,,,
91,HTB02型变频调速异步电动机-3,HTB02,DJ00211003,2011-08-26《电机设计组（2011）第（00170）号》。本批次含6台电机,2011,2011-8-26,,,,,,,,
92,HTB02A型变频调速异步电动机-1,HTB02A,DJ02A11001,2011-02-23《电机设计组（2011）第（00039）号》。本批次含3台电机，2011-02-23《总调度室（2011）第（00211）号》,2011,2011-2-23,,,,,,,,
93,HTB02A型变频调速异步电动机-2,HTB02A,DJ02A11002,2011-04-27《电机设计组（2011）第（00083）号》。本批次含5台电机,2011,2011-4-28,,,,,,,,
94,HTB02A型变频调速异步电动机-3,HTB02A,DJ02A11003,2011-08-26《电机设计组（2011）第（00170）号》。本批次含6台电机,2011,2011-8-26,,,,,,,,
95,HTB02B型变频调速异步电动机-1,HTB02B,DJ02B11001,2011-04-27《电机设计组（2011）第（00083）号》。本批次含2台电机,2011,2011-4-28,,,,,,,,
96,HTB02C型变频调速异步电动机-1,HTB02C,DJ02C11001,2011-12-14《电机部（2011）第（00229）号》。本批次含2台电机,2011,2011-12-14,,,,,,,,
97,HTB13型变频调速异步电动机-1,HTB13,DJ01311001,2011-02-23《电机设计组（2011）第（00039）号》。本批次含6台电机，2011-02-23《总调度室（2011）第（00211）号》，2011-03-03《DJ-GZ2011-0048》通知改为12台,2011,2011-2-23,,,,,,,,
98,HTB13型变频调速异步电动机-2,HTB13,DJ01311002,本批次含10台电机，2011-11-02《电机部（2011）第（00208）号》,2011,2011-11-2,,,,,,,,
99,HTB23A型变频调速异步电动机-1,HTB23A,DJ23A11001,2011.03.29《电机组 第（DJ-GZ2011-0061）号》，本批次含1台样机,2011,2011-3-29,,,,,,,,
100,HTB23A型变频调速异步电动机-2,HTB23A,DJ23A11002,2011-08-26《电机设计组（2011）第（00170）号》。本批次含36台电机,2011,2011-8-26,,,,,,,,
101,HTB41型变频调速异步电动机-1,HTB41,DJ04111001,2011.04.21《电机组 第（DJ-GZ2011-0079）号》，本批次含1台样机，合同号：JZ112891,2011,2011-4-21,,,,,,,,
102,HTB42型变频调速异步电动机-1,HTB42,DJ04211001,2011.09.16《电机组 第（DJ-GZ2011-0188）号》，本批次含1台样机,2011,2011-9-28,,,,,,,,
103,HTB27型变频调速异步电动机-1,HTB27,DJ02711001,2011-05-12《电机组 第（DJ-GZ2011-0096）号》。本批次含2台电机，6000HP压裂泵用,2011,2011-5-12,,,,,,,,
104,HTZ01直流电动机-1,HTZ01,DJZ00111001,2011.04.12《电机组 第（DJ-GZ2011-0071）号》，本批次含7台（2011-6-7由5台改7台），准备配套备用ZJ70D-2,2011,2011-4-18,,,,,,,,
105,HTZ01A直流电动机-1,HTZ01A,DJZ01A11001,2011.04.12《电机组 第（DJ-GZ2011-0071）号》，本批次含7台（2011-6-7由5台改7台），准备配套备用ZJ70D-2,2011,2011-4-18,,,,,,,,
106,HTZ01B直流电动机-1,HTZ01B,DJZ01B11001,2011.04.12《电机组 第（DJ-GZ2011-0071）号》，本批次含2台，准备配套备用ZJ70D-2,2011,2011-4-18,,,,,,,,
107,HTB05型变频调速异步电动机-1,HTB05,DJ00511001,2011-06-08《电机组 第（DJ-GZ2011-0119）号》。本批次含6台电机，渤海钻探ZJ70DB泥浆泵用,2011,2011-6-8,,,,,,,,
108,HTB03型变频调速异步电动机-1,HTB03,DJ00311001（已取消）,2011-07-13《电机组 第（DJ-GZ2011-0144）号》。本批次含5台电机。2012-6-29《电机部（2012）第（0629764）号》联系单通知取消该令号。,2011,2011-7-13,,,,,,,,
109,HTB03A型变频调速异步电动机-1,HTB03A,DJ03A11001（已取消）,2011-07-13《电机组 第（DJ-GZ2011-0144）号》。本批次含5台电机。2012-6-29《电机部（2012）第（0629764）号》联系单通知取消该令号。,2011,2011-7-13,,,,,,,,
110,HTB03B型变频调速异步电动机-1,HTB03B,DJ03B11001,2011-12-26《电机部（2011）第（00242）号》。本批次含1台电机,2011,2011-12-26,,,,,,,,
111,HTB06型变频调速异步电动机-2,HTB06,DJ00611002,2011-12-26《电机部（2011）第（00242）号》。本批次含6台电机,2011,2011-12-26,,,,,,,,
112,HTB06A型变频调速异步电动机-3,HTB06A,DJ06A11003,2011-12-26《电机部（2011）第（00242）号》。本批次含7台电机,2011,2011-12-26,,,,,,,,
113,HTB06型变频调速异步电动机-1,HTB06,DJ00611001,2011-07-13《电机组 第（DJ-GZ2011-0144）号》。本批次含5台电机,2011,2011-7-13,,,,,,,,
114,HTB06A型变频调速异步电动机-1,HTB06A,DJ06A11001,2011-07-13《电机组 第（DJ-GZ2011-0144）号》。本批次含5台电机,2011,2011-7-13,,,,,,,,
115,HTB06A型变频调速异步电动机-2,HTB06A,DJ06A11002,2011-12-12《电机部（2011）第（00226）号》。本批次含4台电机,2011,2011-12-12,,,,,,,,
116,HTB43型变频调速异步电动机-1,HTB43,DJ04311001,2011-08-01《商务部（2011）第（00580）号》。本批次含2台电机，渤海钻探一公司用,2011,2011-8-3,,,,,,,,
117,HTB36型变频调速异步电动机-1,HTB36,DJ03611001,本批次含2台电机，2011-11-02《电机部（2011）第（00208）号》,2011,2011-11-2,,,,,,,,
118,HTB36A型变频调速异步电动机-1,HTB36A,DJ36A11001,本批次含2台电机，2011-11-02《电机部（2011）第（00208）号》,2011,2011-11-2,,,,,,,,
119,DQ70BZ直驱顶驱电控系统-17,DQ450DBZ,10035730,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
120,DQ70BZ直驱顶驱电控系统-18,DQ450DBZ,10035731,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
121,DQ70BZ直驱顶驱电控系统-19,DQ450DBZ,10035732,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
122,DQ70BZ直驱顶驱电控系统-20,DQ450DBZ,10035733,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
123,DQ70BZ直驱顶驱电控系统-21,DQ450DBZ,10035734,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
124,DQ70BZ直驱顶驱电控系统-22,DQ450DBZ,10035735,2011-05-19《商务部（2011）第（00350）号》，2011-05-19《总调度室（2011）第（00617）号》,2011,2011-5-19,,,,,,,,
