序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
60,俄罗斯北方钻探公司ZJ50DBS-11,ZJ50DBS,SZ50DBS07030T,,2007,2007-3-1,,
61,俄罗斯北方钻探公司ZJ50DBS-12,ZJ50DBS,SZ50DBS07031T,,2007,2007-3-1,,
62,俄罗斯北方钻探公司ZJ50DBS-13,ZJ50DBS,SZ50DBS07032T,,2007,2007-3-1,,
63,俄罗斯北方钻探公司ZJ50DBS-14,ZJ50DBS,SZ50DBS07033T,,2007,2007-3-1,,
64,俄罗斯北方钻探公司ZJ50DBS-15,ZJ50DBS,SZ50DBS07034T,,2007,2007-3-1,,
65,俄罗斯北方钻探公司ZJ50DBS-16,ZJ50DBS,SZ50DBS07035T,,2007,2007-3-1,,
66,俄罗斯北方钻探公司ZJ50DBS-17,ZJ50DBS,SZ50DBS07036T,,2007,2007-3-1,,
67,俄罗斯北方钻探公司ZJ50DBS-18,ZJ50DBS,SZ50DBS07037T,,2007,2007-3-1,,
68,俄罗斯北方钻探公司ZJ50DBS-19,ZJ50DBS,SZ50DBS07038T,,2007,2007-3-1,,
69,俄罗斯北方钻探公司ZJ50DBS-20,ZJ50DBS,SZ50DBS07039T,,2007,2007-3-1,,
70,俄罗斯北方钻探公司ZJ50DBS-21,ZJ50DBS,SZ50DBS07040T,,2007,2007-3-1,,
71,俄罗斯北方钻探公司ZJ50DBS-22,ZJ50DBS,SZ50DBS07041T,,2007,2007-3-1,,
72,印度尼西亚GDP公司ZJ90DBS,ZJ90DBS,SZ90DBS07042T,,2007,2007-3-1,,
73,江苏油田ZJ50LDB,ZJ50LDB,SZ50L07043T,,2007,2007-3-1,,
74,印度shi-vani公司ZJ70D-1,ZJ70D,SZ70D07044T,,2007,2007-3-1,,
75,印度shi-vani公司ZJ70D-2,ZJ70D,SZ70D07045T,,2007,2007-3-1,,
76,印度shi-vani公司ZJ70D-3,ZJ70D,SZ70D07046T,,2007,2007-3-1,,
77,印度shi-vani公司ZJ70D-4,ZJ70D,SZ70D07047T,,2007,2007-3-1,,
78,中石化华东油田ZJ70L,ZJ70L,SZ70LC07048T,,2007,2007-3-1,,
79,埃及ZJ50DBS-1,ZJ50DBS,ZJ50DBS07050T,,2007,2007-3-1,,
80,埃及ZJ50DBS-2,ZJ50DBS,ZJ50DBS07051T,,2007,2007-3-1,,
81,乌兹别克Eriell公司ZJ70LDB-3,ZJ50DBS,SZ70LDB07052T,,2007,2007-3-1,,
82,宁夏煤炭勘察公司ZJ40L,ZJ40L,SZ40L07053T,,2007,2007-3-1,,
83,中石化西南局ZJ70D-1,ZJ70D,SZ70D07054T,,2007,2007-3-1,,
84,中石化西南局ZJ70D-2,ZJ70D,SZ70D07055T,,2007,2007-3-1,,
85,中石化（江汉油田）ZJ70D-2,ZJ70D,SZ70D07056T,,2007,2007-3-1,,
86,中石化（江汉油田）ZJ70D-1,ZJ70D,SZ70D07057T,,2007,2007-3-1,,
87,乌兹别克Eriell公司ZJ70LDB-4,ZJ70LDB,SZ70LDB07058T,,2007,2007-3-1,,
88,乌兹别克Eriell公司ZJ70LDB-5,ZJ70LDB,SZ70LDB07059T,,2007,2007-3-1,,
89,华北钻井一公司ZJ40J-1,ZJ40J,SZ40J07061T,,2007,2007-3-1,,
90,华北钻井一公司ZJ40J-2,ZJ40J,SZ40J07062T,,2007,2007-3-1,,
91,华北钻井四公司ZJ40J-3,ZJ40J,SZ40J07063T,,2007,2007-3-1,,
92,中技开ZJ50DBS-7,ZJ50DBS,SZ50DBS07064T,,2007,2007-3-1,,
93,俄罗斯北方钻探公司ZJ50DBS-23,ZJ50DBS,SZ50DBS07065T,,2007,2007-3-1,,
94,俄罗斯北方钻探公司ZJ50DBS-24,ZJ50DBS,SZ50DBS07066T,,2007,2007-3-1,,
95,俄罗斯北方钻探公司ZJ50DBS-25,ZJ50DBS,SZ50DBS07067T,,2007,2007-3-1,,
96,俄罗斯北方钻探公司ZJ50DBS-26,ZJ50DBS,SZ50DBS07068T,,2007,2007-3-1,,
97,俄罗斯北方钻探公司ZJ50DBS-27,ZJ50DBS,SZ50DBS07069T,,2007,2007-3-1,,
98,俄罗斯北方钻探公司ZJ50DBS-28,ZJ50DBS,SZ50DBS07070T,,2007,2007-3-1,,
99,俄罗斯北方钻探公司ZJ50DBS-29,ZJ50DBS,SZ50DBS07071T,,2007,2007-3-1,,
100,俄罗斯北方钻探公司ZJ50DBS-30,ZJ50DBS,SZ50DBS07072T,,2007,2007-3-1,,
101,乌兹别克Eriell公司ZJ70LDB-6,ZJ70LDB,SZ70LDB07073T,,2007,2007-3-1,,
102,巴西ATI项目ZJ70DBS-2,ZJ70DBS,SZ70DBS07074T,,2007,2007-3-1,,
103,四川石油管理局ZJ70LDB-1,ZJ70LDB,SZ70LDB07075T,,2007,2007-3-1,,
104,四川石油管理局ZJ70LDB-2,ZJ70LDB,SZ70LDB07076T,,2007,2007-3-1,,
105,四川石油管理局ZJ70LDB-3,ZJ70LDB,SZ70LDB07077T,,2007,2007-3-1,,
106,四川石油管理局ZJ70LDB-4,ZJ70LDB,SZ70LDB07078T,,2007,2007-3-1,,
107,香港Sinoil公司（哈萨克70L）,ZJ70L,SZ70L07079T,,2007,2007-3-1,,
108,四川石油管理局ZJ70LDB-5,ZJ70LDB,SZ70LDB07080T,,2007,2007-3-1,,
109,四川石油管理局ZJ70LDB-6,ZJ70LDB,SZ70LDB07081T,,2007,2007-3-1,,
110,江苏石油勘探局ZJ40L,ZJ40L,SZ40L07082T,,2007,2007-3-1,,
111,中海油海洋工程有限公司HZ25-3/1,HZ25-3/1,SZ70DBS07083T,,2007,2007-3-1,,
112,印度shi-vani公司ZJ70D-5,ZJ70D,SZ70D07084T,,2007,2007-3-1,,
113,印度shi-vani公司ZJ70D-6,ZJ70D,SZ70D07085T,,2007,2007-3-1,,
114,中技开ZJ70D,ZJ70D,HT70DZJ070204,,2007,2007-3-1,,
115,塔西南勘探开发公司F320钻机改造,F320钻机改造,HTF320TX070308,,2007,2007-3-1,,
