序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,
34,水冷式变频传动系统研制 ,,HT0819,项目编号HTK08-09,2008,2008-3-1,,
35,直流测试柜,,HT0820,2套输出分别为800kW/60HZ  1600kW/60HZ。2009.7.23完成,2008,2008-3-1,,
36,印度ZJ70D液压站控制箱-1,,SB70D081045T,2008.12.05周五力旺车辆送广汉,2008,2008-3-1,,
37,印度ZJ70D液压站控制箱-2,,SB70D081046T,2009.01.05周一肖伟车辆送广汉,2008,2008-3-1,,
38,印度ZJ70D液压站控制箱-3,,SB70D081047T,2009.01.05周一肖伟车辆送广汉,2008,2008-3-1,,
39,印度ZJ70D液压站控制箱-4,,SB70D081048T,2009.01.05周一肖伟车辆送广汉,2008,2008-3-1,,
40,印度ZJ70D液压站控制箱-5,,SB70D081049T,2009.01.05周一肖伟车辆送广汉,2008,2008-3-1,,
41,顶驱控制系统DQ70B-1,DQ70B,SBDQ70B08395T,2012-5-31《总调度室（2012）第（00636）号》配套给中原石油局租赁，2012-5-31《商务部（2012）第（0531617）号》,2008,2008-3-1,,
42,顶驱控制系统DQ70B-2,DQ70B,SBDQ70B08396T,2012-5-25《总调度室（2012）第（00620）号》配套给中原石油局租赁，2012-5-27《商务部（2012）第（0527142）号》.2012-5-31《总调度室（2012）第（00636）号》配套给江苏40顶驱，2012-5-31《商务部（2012）第（0531617）号》,2008,2008-3-1,,
43,印度QUIPO公司ZJ40DBST,ZJ40DBST,SQ08007,,2008,2008-3-1,,
44,起升控制箱,,SQ08021,起升控制箱1台，根据俄罗斯北方钻井50DBS制作，配套宏华教学装置,2008,2008-3-1,,
45,综合液压站控制箱,,SQ08021,合同号JZ090895，综合液压站1套，09.08.24商务部通知先不制作,2008,2008-3-1,,
46,中石化西南局ZJ70LDB液压站控制箱,,SQ08024T,2008-12-1下班时侯肖伟车辆送广汉,2008,2008-3-1,,
47,川东钻探ZJ50L改造,ZJ50L,SX50L08002T,,2008,2008-3-1,,
48,川庆塔里木改造ZJ70LC-1,ZJ70LC,SX70LC08004T   ,,2008,2008-3-1,,
49,川庆塔里木改造ZJ70LC-2,ZJ70LC,SX70LC08005T   ,,2008,2008-3-1,,
50,川庆塔里木改造ZJ70LC-3,ZJ70LC,SX70LC08006T,,2008,2008-3-1,,
51,川庆塔里木改造ZJ70LC-4,ZJ70LC,SX70LC08007T,,2008,2008-3-1,,
52,川庆塔里木改造ZJ70LC-5,ZJ70LC,SX70LC08008T,,2008,2008-3-1,,
53,川庆塔里木改造ZJ70LC-6,ZJ70LC,SX70LC08009T,,2008,2008-3-1,,
54,川西改造ZJ70LC-1,ZJ70LC,SX70LC08011T,,2008,2008-3-1,,
55,川西改造ZJ70LC-2,ZJ70LC,SX70LC08012T,,2008,2008-3-1,,
56,川西改造ZJ70LC-3,ZJ70LC,SX70LC08013T,,2008,2008-3-1,,
57,中海油基地集团渤海工程分公司PL19-3D,ZJ40DBS,SZ40DBS08001T,,2008,2008-3-1,,
58,印度shi-vani公司ZJ70D-7,ZJ70D,SZ70D08002T,,2008,2008-3-1,,
59,印度shi-vani公司ZJ70D-8,ZJ70D,SZ70D08003T,,2008,2008-3-1,,
60,印度shi-vani公司ZJ70D-9,ZJ70D,SZ70D08004T,,2008,2008-3-1,,
61,印度shi-vani公司ZJ70D-10,ZJ70D,SZ70D08005T,,2008,2008-3-1,,
62,乌兹别克Eriell公司ZJ70LDB-1,ZJ70LDB,SZ70LDB08006T,,2008,2008-3-1,,
63,乌兹别克Eriell公司ZJ70LDB-2,ZJ70LDB,SZ70LDB08007T,,2008,2008-3-1,,
64,乌兹别克Eriell公司ZJ70LDB-3,ZJ70LDB,SZ70LDB08008T,,2008,2008-3-1,,
65,俄罗斯北方钻井公司ZJ50DBS-1,ZJ50DBS,SZ50DBS08009T,,2008,2008-3-1,,
66,俄罗斯北方钻井公司ZJ50DBS-2,ZJ50DBS,SZ50DBS08010T,,2008,2008-3-1,,
67,宏华自制教学钻机ZJ40DBS-1,ZJ40DBS,SZ40DBS08011T,,2008,2008-3-1,,
68,宏华自制教学钻机ZJ40DBS-2,ZJ40DBS,SZ40DBS08012T,,2008,2008-3-1,,
69,俄罗斯20T-2,ZJ20T/1580T,SZ20T08013T,,2008,2008-3-1,,
70,俄罗斯20T-3,ZJ20T/1580T,SZ20T08014T,,2008,2008-3-1,,
71,俄罗斯20T-4,ZJ20T/1580T,SZ20T08015T,,2008,2008-3-1,,
72,俄罗斯20T-5,ZJ20T/1580T,SZ20T08016T,,2008,2008-3-1,,
73,俄罗斯20T-6,ZJ20T/1580T,SZ20T08017T,,2008,2008-3-1,,
74,乌兹别克Eriell公司ZJ70DBS-1,ZJ70DBS,SZ70DBS08018T,,2008,2008-3-1,,
75,乌兹别克Eriell公司ZJ70DBS-2,ZJ70DBS,SZ70DBS08019T,,2008,2008-3-1,,
76,乌兹别克Eriell公司ZJ70DBS-3,ZJ70DBS,SZ70DBS08020T,,2008,2008-3-1,,
77,乌兹别克Eriell公司ZJ70DBS-4,ZJ70DBS,SZ70DBS08021T,,2008,2008-3-1,,
78,印尼NYT公司ZJ50DBS,ZJ50DBS,SZ50DBS08022T,,2008,2008-3-1,,
79,宏埃公司ZJ50DBS-2,ZJ50DBS,SZ50DBS08023T,,2008,2008-3-1,,
80,SLB公司ZJ50DBS-1,ZJ50DBS,SZ50DBS08024T,,2008,2008-3-1,,
81,SLB公司ZJ50DBS-2,ZJ50DBS,SZ50DBS08025T,,2008,2008-3-1,,
82,阿联酋ETA公司ZJ70DBS-1,ZJ70DBS,SZ70DBS08026T,2010-9-7刘海亮口头通知VFD房转给油气田公司ZJ70DBS，司钻房转给埃宏ZJ70DBS,2008,2008-3-1,,
83,阿联酋ETA公司ZJ70DBS-2,ZJ70DBS,SZ70DBS08027T,转给约旦ZJ70DBS,2008,2008-3-1,,
84,阿联酋ETA公司ZJ70DBS-3,ZJ70DBS,SZ70DBS08028T,,2008,2008-3-1,,
85,阿联酋ETA公司ZJ70DBS-4,ZJ70DBS,SZ70DBS08029T,,2008,2008-3-1,,
86,中石化西南局ZJ50D,ZJ50D,SZ50D08030T,,2008,2008-3-1,,
87,乌兹别克Eriell公司ZJ70DBS-5,ZJ70DBS,SZ70DBS08031T,,2008,2008-3-1,,
88,乌兹别克Eriell公司ZJ70DBS-6,ZJ70DBS,SZ70DBS08032T,,2008,2008-3-1,,
89,乌兹别克Eriell公司ZJ70DBS-7,ZJ70DBS,SZ70DBS08033T,,2008,2008-3-1,,
90,俄罗斯20T-7,ZJ20T/1580T,SZ20T08034T,,2008,2008-3-1,,
91,俄罗斯20T-8,ZJ20T/1580T,SZ20T08035T,,2008,2008-3-1,,
92,备用ZJ70LDB-1,ZJ70LDB,SZ70LDB08039T,,2008,2008-3-1,,
93,备用ZJ70LDB-2,ZJ70LDB,SZ70LDB08040T,2010-8-20《总调室（2010）第（00920）号》用作川西ZJ50L钻机改造-1（50635）HT10053,2008,2008-3-1,2010.8.25更新,
94,备用ZJ70LDB-1,ZJ70LDB,SZ70LDB08056T,,2008,2008-3-1,,
95,备用ZJ70LDB-2,ZJ70LDB,SZ70LDB08057T,,2008,2008-3-1,,
96,俄罗斯苏尔古特油田ZJ30DBS-1,ZJ30DBS,SZ30DBS08041T,,2008,2008-3-1,,
97,俄罗斯苏尔古特油田ZJ30DBS-2,ZJ30DBS,SZ30DBS08042T,,2008,2008-3-1,,
98,俄罗斯苏尔古特油田ZJ30DBS-3,ZJ30DBS,SZ30DBS08043T,,2008,2008-3-1,,
99,俄罗斯苏尔古特油田ZJ30DBS-4,ZJ30DBS,SZ30DBS08044T,,2008,2008-3-1,,
100,俄罗斯苏尔古特油田ZJ30DBS-1,ZJ30DBS,SZ30DBS08045T,,2008,2008-3-1,,
101,俄罗斯苏尔古特油田ZJ30DBS-2,ZJ30DBS,SZ30DBS08046T,,2008,2008-3-1,,
102,俄罗斯苏尔古特油田ZJ30DBS-3,ZJ30DBS,SZ30DBS08047T,,2008,2008-3-1,,
103,俄罗斯苏尔古特油田ZJ30DBS-4,ZJ30DBS,SZ30DBS08048T,,2008,2008-3-1,,
104,俄罗斯苏尔古特油田ZJ30DBS-5,ZJ30DBS,SZ30DBS08049T,,2008,2008-3-1,,
105,俄罗斯苏尔古特油田ZJ30DBS-6,ZJ30DBS,SZ30DBS08050T,,2008,2008-3-1,,
106,俄罗斯苏尔古特油田ZJ30DBS-7,ZJ30DBS,SZ30DBS08051T,,2008,2008-3-1,,
107,俄罗斯苏尔古特油田ZJ30DBS-8,ZJ30DBS,SZ30DBS08052T,,2008,2008-3-1,,
108,俄罗斯苏尔古特油田ZJ30DBS-9,ZJ30DBS,SZ30DBS08053T,,2008,2008-3-1,,
109,俄罗斯苏尔古特油田ZJ30DBS-10,ZJ30DBS,SZ30DBS08054T,,2008,2008-3-1,,
110,印度50L,ZJ50L,SZ50L08055T,,2008,2008-3-1,,
111,宏埃公司ZJ50DBS-1,ZJ50DBS,SZ50DBS08058T,,2008,2008-3-1,,
112,巴基斯坦ZJ50D,ZJ50D,SZ50D08059T,,2008,2008-3-1,,
113,阿联酋ZJ10DBS,ZJ10DBS,SZ10DBS08060T,,2008,2008-3-1,,
114,KDC（科威特）ZJ40DT-1,ZJ40DT,SZ40DT08061T,,2008,2008-3-1,,
115,KDC（科威特）ZJ40DT-2,ZJ40DT,SZ40DT08062T,,2008,2008-3-1,,
116,KDC（科威特）ZJ40DT-3,ZJ40DT,SZ40DT08063T,,2008,2008-3-1,,
117,KDC（科威特）ZJ50DBST-1,ZJ50DBST,SZ50DBST08064T,,2008,2008-3-1,,
118,KDC（科威特）ZJ50DBST-2,ZJ50DBST,SZ50DBST08065T,,2008,2008-3-1,,
119,SAYMA70D-1,ZJ70D,SZ70D08066T,,2008,2008-3-1,,
120,SAYMA70D-2,ZJ70D,SZ70D08067T,,2008,2008-3-1,,
121,SAYMA70D-3,ZJ70D,SZ70D08068T,,2008,2008-3-1,,
122,SAYMA70D-4,ZJ70D,SZ70D08069T,,2008,2008-3-1,,
123,俄罗斯维尔钻井公司20T-1,ZJ20/1580T,SZ20T08070T,,2008,2008-3-1,,
124,俄北方30T-1,ZJ30T,SZ30T08073T,2010.5.17商务部（2010）第（00209）号通知挪用到捷乌ZJ30T-1（商务部（2010）第（00236）号），宏华项目指令：X10010224,2008,2008-3-1,2010.6.7更新,
125,俄北方30T-2,ZJ30T,SZ30T08074T,2010.5.17商务部（2010）第（00209）号通知挪用到捷乌ZJ30T-2（商务部（2010）第（00236）号），宏华项目指令：X10017224,2008,2008-3-1,2010.6.7更新,
126,俄北方30T-3,ZJ30T,SZ30T08075T,,2008,2008-3-1,,
127,中海油基地集团渤海工程分公司PL19-3F,ZJ40DBS,SZ40DBS08076T,,2008,2008-3-1,,
128,中海油PL19-3E,ZJ40DBS,SZ40DBS08077T,,2008,2008-3-1,,
129,NABORS ZJ50DBS-1,ZJ50DBS,SZ50DBS08078T,,2008,2008-3-1,,
130,NABORS ZJ50DBS-2,ZJ50DBS,SZ50DBS08079T,,2008,2008-3-1,,
131,NABORS ZJ50DBS-3,ZJ50DBS,SZ50DBS08080T,,2008,2008-3-1,,
132,NABORS ZJ50DBS-4,ZJ50DBS,SZ50DBS08081T,,2008,2008-3-1,,
133,NABORS ZJ50DBS-5,ZJ50DBS,SZ50DBS08082T,,2008,2008-3-1,,
134,NABORS ZJ50DBS-6,ZJ50DBS,SZ50DBS08083T,,2008,2008-3-1,,
135,NABORS ZJ50DBS-7,ZJ50DBS,SZ50DBS08084T,,2008,2008-3-1,,
136,NABORS ZJ50DBS-8,ZJ50DBS,SZ50DBS08085T,,2008,2008-3-1,,
137,NABORS ZJ50DBS-9,ZJ50DBS,SZ50DBS08086T,,2008,2008-3-1,,
138,NABORS ZJ50DBS-10,ZJ50DBS,SZ50DBS08087T,,2008,2008-3-1,,
139,美国Unit公司,ZJ50D,SZ50D08088T,,2008,2008-3-1,,
140,美国Unit公司,ZJ50D,SZ50D08089T,,2008,2008-3-1,,
141,海隆石油技术服务公司ZJ50DBS-2,ZJ50DBS,SZ50DBS08090T,,2008,2008-3-1,,
142,俄罗斯北方钻井公司ZJ50DBS-3,ZJ50DBS,SZ50DBS08091T,商务部2010-09-25：商务部（2010）第（00524）号电传转给埃宏ZJ50DBS生产令号：X10024217。2010-11-01总调度室（2010）第（01309）号通知埃宏ZJ50DBS生产令号：X10024217电传采用俄罗斯北方钻井公司ZJ50DBS-9，不再挪该项目。2011年宏华最终转给泰国ZJ50DBS,2008,2008-3-1,,
143,俄罗斯北方钻井公司ZJ50DBS-4,ZJ50DBS,SZ50DBS08092T,挪用给欧亚ZJ50DBS钻机-1,2008,2008-3-1,,
144,俄罗斯北方钻井公司ZJ50DBS-5,ZJ50DBS,SZ50DBS08093T,,2008,2008-3-1,,
145,俄罗斯北方钻井公司ZJ50DBS-6,ZJ50DBS,SZ50DBS08094T,挪用给欧亚ZJ50DBS钻机-2,2008,2008-3-1,,
146,俄罗斯北方钻井公司ZJ50DBS-7,ZJ50DBS,SZ50DBS08095T,2010.08.20《总调室（2010）第（00915）号转给江苏ZJ50DBS,2008,2008-3-1,,
147,俄罗斯北方钻井公司ZJ50DBS-8,ZJ50DBS,SZ50DBS08096T,,2008,2008-3-1,,
148,俄罗斯北方钻井公司ZJ50DBS-9,ZJ50DBS,SZ50DBS08097T,2010.08.20《总调室（2010）第（00915）号转给新顺ZJ50DBS-2。2010-11-01总调度室（2010）第（01309）号通知电控房转给埃宏ZJ50DBS生产令号：X10024217,2008,2008-3-1,,
149,俄罗斯北方钻井公司ZJ50DBS-10,ZJ50DBS,SZ50DBS08098T,,2008,2008-3-1,,
150,俄罗斯欧亚ZJ50DBS-1,ZJ50DBS,SZ50DBS08109T,,2008,2008-3-1,2010.5.5加入此表,
151,俄罗斯欧亚ZJ50DBS-2,ZJ50DBS,SZ50DBS08110T,,2008,2008-3-1,2010.5.5加入此表,
152,俄罗斯维尔钻井公司20T-2,ZJ20/1580T,SZ20T08112T,,2008,2008-3-1,,
153,俄罗斯维尔钻井公司20T-3,ZJ20/1580T,SZ20T08113T,,2008,2008-3-1,,
154,俄罗斯维尔钻井公司20T-4,ZJ20/1580T,SZ20T08114T,,2008,2008-3-1,,
155,俄罗斯维尔钻井公司20T-5,ZJ20/1580T,SZ20T08115T,,2008,2008-3-1,,
156,俄罗斯维尔钻井公司20T-6,ZJ20/1580T,SZ20T08116T,,2008,2008-3-1,,
157,俄罗斯维尔钻井公司20T-7,ZJ20/1580T,SZ20T08117T,,2008,2008-3-1,,
158,俄罗斯维尔钻井公司20T-8,ZJ20/1580T,SZ20T08118T,,2008,2008-3-1,,
159,俄罗斯维尔钻井公司20T-9,ZJ20/1580T,SZ20T08119T,,2008,2008-3-1,,
160,俄罗斯维尔钻井公司20T-10,ZJ20/1580T,SZ20T08120T,,2008,2008-3-1,,
161,俄罗斯维尔钻井公司20T-11,ZJ20/1580T,SZ20T08121T,,2008,2008-3-1,,
162,俄罗斯维尔钻井公司20T-12,ZJ20/1580T,SZ20T08122T,,2008,2008-3-1,,
163,俄罗斯维尔钻井公司20T-13,ZJ20/1580T,SZ20T08123T,,2008,2008-3-1,,
164,俄罗斯维尔钻井公司20T-14,ZJ20/1580T,SZ20T08124T,,2008,2008-3-1,,
165,俄罗斯维尔钻井公司20T-15,ZJ20/1580T,SZ20T08125T,,2008,2008-3-1,,
166,俄罗斯维尔钻井公司20T-16,ZJ20/1580T,SZ20T08126T,,2008,2008-3-1,,
167,俄罗斯维尔钻井公司20T-17,ZJ20/1580T,SZ20T08127T,,2008,2008-3-1,,
168,俄罗斯维尔钻井公司20T-18,ZJ20/1580T,SZ20T08128T,,2008,2008-3-1,,
169,俄罗斯维尔钻井公司20T-19,ZJ20/1580T,SZ20T08129T,,2008,2008-3-1,,
170,俄罗斯维尔钻井公司20T-20,ZJ20/1580T,SZ20T08130T,,2008,2008-3-1,,
171,俄罗斯维尔钻井公司20T-21,ZJ20/1580T,SZ20T08131T,,2008,2008-3-1,,
172,俄罗斯维尔钻井公司20T-22,ZJ20/1580T,SZ20T08132T,,2008,2008-3-1,,
173,俄罗斯维尔钻井公司20T-23,ZJ20/1580T,SZ20T08133T,,2008,2008-3-1,,
174,备用70LDB,ZJ70LDB,SZ70DLB08134T,2010-8-20《总调室（2010）第（00920）号》用作川西ZJ50L钻机改造-2（50636）HT10054,2008,2008-3-1,2010.8.25更新,
175,印度shi-vani公司ZJ70D-1,ZJ70D,SZ70D08136T,,2008,2008-3-1,,
176,印度shi-vani公司ZJ70D-2,ZJ70D,SZ70D08137T,,2008,2008-3-1,,
177,印度shi-vani公司ZJ70D-3,ZJ70D,SZ70D08138T,,2008,2008-3-1,,
178,阿联酋ZJ10DBS,ZJ10DBS,SZ10DBS08139T,,2008,2008-3-1,,
