序号,项目名称,型号,生产令号,备注,令号年份,添加时间,,,,
15,泰国6点电话系统,,HT12014,2012-3-2《商务部（2012）第（00185）号》，2012-3-6《总调度室（2012）第（00224）号》,2012,2012-3-2,,,调度负责人：羊慕倪,
16,宏海号试验模型,,HT12015,2012-3-6《总调度室（2012）第（00224）号》,2012,2012-3-5,,,调度负责人：羊慕倪,
17,SLB HHF-1600泵组电气配套,,HT12016,2012-3-12《商务部（2012）第（00191）号》,2012,2012-3-12,,,调度负责人：羊慕倪,
18,备用ZJ70LDB-1（2012）,ZJ70LDB,HT12017,2012-3-12《总调度室（2012）第（00247）号》，2012-3-16《总调度室（2012）第（00271）号》,2012,2012-3-12,,,调度负责人：李波炜,
19,备用ZJ70LDB-2（2012）,ZJ70LDB,HT12018,2012-3-12《总调度室（2012）第（00247）号》，2012-3-16《总调度室（2012）第（00271）号》,2012,2012-3-12,,,调度负责人：李波炜,
20,备用ZJ70LDB-3（2012）,ZJ70LDB,HT12019,2012-3-12《总调度室（2012）第（00247）号》，2012-3-16《总调度室（2012）第（00271）号》,2012,2012-3-12,,,调度负责人：李波炜,
21,顶驱调试房,,HT12020,2012-3-19《商务部（2012）第（00204）号》，2012-3-19《总调度室（2012）第（00279）号》,2012,2012-3-19,序列号已编制,,,
22,委内瑞拉ZJ70D司钻房维修,,HT12021,2012-3-19《商务部（2012）第（00205）号》，2012-3-19《总调度室（2012）第（00279）号》，2012-3-16《储运部综合办CY20120323》,2012,2012-3-19,,,调度负责人：李波炜,
23,备用ZJ70LDB-4（2012）,ZJ70LDB,HT12022,2012-3-31《总调度室（2012）第（00307）号》,2012,2012-3-23,,,调度负责人：李波炜,
24,备用ZJ70LDB-5（2012）,ZJ70LDB,HT12023,2012-3-31《总调度室（2012）第（00307）号》,2012,2012-3-23,,,调度负责人：李波炜,
25,SLB ZJ10DBS司钻房,ZJ10DBS,HT12024,2012-3-27《商务部（2012）第（00273）号》，2012-3-27《总调度室（2012）第（00331）号》，2012-5-24《商务部（2012）第（0523968）号》KJS120693,2012,2012-3-27,,,调度负责人：田培彬,
26,金海岸ZJ50DBST ,ZJ50DBST ,HT12025,2012-4-11《商务部（2012）第（00409）号》，2012-4-11《总调度室（2012）第（00422）号》挪用原捷乌50DBST（生产令号：SZ50DBS10003T）,2012,2012-4-11,,,调度负责人：江强,
27,中压变频房-1,,HT12026,2012-3-29《总调度室（2012）第（00307）号》,2012,2012-3-29,序列号已编制,,调度负责人：田培彬,
28,中压变频房-2,,内部订单:C42002012001,2012-7-26《研发中心（2012）第（00003）号》,2012,2012-7-30,,,调度负责人：田培彬,
29,川西电机维修2012,,HT12027W,2012-3-29《商务部（2012）第（0328517）号》,2012,2012-3-29,集团外,,,
30,中金发电机控制屏,,HT12028,2012-4-13《总调度室（2012）第（00442）号》，2012-4-18《商务部（2012）第（0418799）号》,2012,2012-4-13,集团外,,调度负责人：田培彬,采购负责人：谢同花
31,长城井下公司电动泵-1（2012）,,HT12029,2012-4-11《总调度室（2012）第（00420）号》，2012-4-27《商务部（2012）第（0427726）号》,2012,2012-4-11,序列号已编制,,调度负责人：李波炜,
32,长城井下公司电动泵-2（2012）,,HT12030,2012-4-11《总调度室（2012）第（00420）号》，2012-4-27《商务部（2012）第（0427726）号》,2012,2012-4-11,序列号已编制,,调度负责人：李波炜,
33,DQ675DBZ直驱顶驱电控系统-3,DQ675DBZ,HT12031,2012-05-03《商务部（2012）第（0427824）号》，2012-05-03《总调度室（2012）第（00527）号》,2012,2012-5-3,电控房序列号10000024,,,
34,DQ675DBZ直驱顶驱电控系统-4,DQ675DBZ,HT12032,2012-05-03《商务部（2012）第（0427824）号》，2012-05-03《总调度室（2012）第（00527）号》,2012,2012-5-3,电控房序列号10000025,,,
35,DQ450DBZ直驱顶驱电控系统-17,DQ450DBZ,HT12034,2012-05-11《商务部（2012）第（0511748）号》，2012-05-11《总调度室（2012）第（00565）号》,2012,2012-5-11,电控房序列号10000018,,,
36,DQ450DBZ直驱顶驱电控系统-18,DQ450DBZ,HT12035,2012-05-11《商务部（2012）第（0511748）号》，2012-05-11《总调度室（2012）第（00565）号》,2012,2012-5-11,电控房序列号10000019,,,
37,DQ450DBZ直驱顶驱电控系统-19,DQ450DBZ,HT12036,2012-05-11《商务部（2012）第（0511748）号》，2012-05-11《总调度室（2012）第（00565）号》,2012,2012-5-11,电控房序列号10000020,,,
38,DQ450DBZ直驱顶驱电控系统-20,DQ450DBZ,HT12037,2012-05-11《商务部（2012）第（0511748）号》，2012-05-11《总调度室（2012）第（00565）号》,2012,2012-5-11,电控房序列号10000021,,,
39,ECDC固控配套,,HT12039,2012-05-10《商务部（2012）第（0510189）号》，2012-05-11《总调度室（2012）第（00572）号》,2012,2012-5-11,,,调度负责人：田培彬,
40,备用ZJ70D-5,ZJ70D,HT12040,2012-05-24《总调度室（2012）第（00610）号》,2012,2012-5-23,,,调度负责人：田培彬,
41,备用ZJ70D-6,ZJ70D,HT12041,2012-05-24《总调度室（2012）第（00610）号》,2012,2012-5-23,,,调度负责人：田培彬,
42,文昌化学药剂注入撬,,HT12042,2012-06-11《总调度室（2012）第（00676）号》，2012-06-11《商务部（2012）第（0607081）号》HH令号:Q12043217,2012,2012-6-11,,,,
43,渤海ZJ70DB-4,ZJ70DB,HT12043W,2012-06-18《总调度室（2012）第（00700）号》，2012-06-18《商务部（2012）第（0618516）号》,2012,2012-6-18,集团外,序列号已编制,调度负责人：李波炜,
44,DQ450DBZ直驱顶驱电控系统-21,DQ450DBZ,HT12044,2012-06-24《总调度室（2012）第（00720）号》，2012-06-27《商务部（2012）第（0625758）号》，2012-07-27《商务部（2012）第（0727773）号》,2012,2012-6-24,电控房序列号10000108,,,
45,DQ450DBZ直驱顶驱电控系统-22,DQ450DBZ,HT12045,2012-06-24《总调度室（2012）第（00720）号》，2012-06-27《商务部（2012）第（0625758）号》,2012,2012-6-24,电控房序列号10000109,,,
46,DQ450DBZ直驱顶驱电控系统-23,DQ450DBZ,HT12046,2012-06-24《总调度室（2012）第（00720）号》，2012-06-27《商务部（2012）第（0625758）号》,2012,2012-6-24,电控房序列号10000110,,,
47,DQ450DBZ直驱顶驱电控系统-24,DQ450DBZ,HT12047,2012-06-26《总调度室（2012）第（00726）号》,2012,2012-6-26,电控房序列号10000111,,,
48,DQ450DBZ直驱顶驱电控系统-25,DQ450DBZ,HT12048,2012-06-26《总调度室（2012）第（00726）号》,2012,2012-6-26,电控房序列号10000112,,,
49,西部钻探ZJ80D,ZJ80D,HT12049W,2012-07-18《总调度室（2012）第（00793）号》，2012-07-18《商务部（2012）第（0718276）号》,2012,2012-7-18,电控房序列号10000129,,调度负责人：田培彬,
50,川东钻探VFD房油改电改造,,HT12050W,2012-08-08《商务部（2012）第（0808662）号》，2012-08-08《总调度室（2012）第（00870）号》,2012,2012-8-8,,,调度负责人：田培彬,
51,俄罗斯6点视频系统（低温）-2,,HT12051,2012-09-04《商务部（2012）第（0904）号》合同KJS121734，2012-09-04《总调度室（2012）第（00939）号》,2012,2012-1-26,,,调度负责人：羊慕倪,
52,油服哈国顶驱更换,,HT12052,2012-09-20《商务部（2012）第（0920870）号》,2012,2012-9-20,,,,
53,DQ450DBZ直驱顶驱电控系统-26,DQ450DBZ,HT12053,2012-10-08《总调度室（2012）第（01011）号》,2012,2012-10-8,,,,
54,DQ450DBZ直驱顶驱电控系统-27,DQ450DBZ,HT12054,2012-10-08《总调度室（2012）第（01011）号》,2012,2012-10-8,,,,
55,DQ450DBZ直驱顶驱电控系统-28,DQ450DBZ,HT12055,2012-10-08《总调度室（2012）第（01011）号》,2012,2012-10-8,,,,
56,重仪司钻房,,HT12056,2012-10-15《商务部（2012）第（1012896）号》，2012-10-15《总调度室（2012）第（01029）号》,2012,2012-10-15,司钻房序列号20000061,商务负责人：熊桃伟,调度负责人：田培彬,
57,西南局ZJ50L更新司钻房,ZJ50L,HT12057,2012-09-29《商务部（2012）第（0929316）号》，2012-09-29《总调度室（2012）第（01008）号》，2012-10-15《总调度室（2012）第（01032）号》,2012,2012-9-29,,,调度负责人：李波炜,
58,长庆机修厂试车装置改造,,HT12058,2012-10-22《商务部（2012）第（1017719）号》，2012-10-22《总调度室（2012）第+E44（01039）号》,2012,2012-10-17,,,调度负责人：李波炜,
70,HTB03B型变频调速异步电动机（2012）-1,HTB03B,DJ03B12001,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS转盘电机,2012,2012-7-30,,,,
71,HTB03B型变频调速异步电动机（2012）-2,HTB03B,DJ03B12002,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS转盘电机,2012,2012-7-30,,,,
72,HTB03B型变频调速异步电动机（2012）-3,HTB03B,DJ03B12003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS转盘电机,2012,2012-7-30,,,,
73,HTB03B型变频调速异步电动机（2012）-4,HTB03B,DJ03B12004,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS转盘电机,2012,2012-7-30,,,,
74,HTB03B型变频调速异步电动机（2012）-5,HTB03B,DJ03B12005,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS转盘电机,2012,2012-7-30,,,,
75,HTB03B型变频调速异步电动机（2012）-6,HTB03B,DJ03B12006,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
76,HTB03B型变频调速异步电动机（2012）-7,HTB03B,DJ03B12007,2012-8-13《电机部（2012）第（0813311）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-13,,,,
77,HTB03B型变频调速异步电动机（2012）-8,HTB03B,DJ03B12008,2012-10-10《电机部（2012）第（1010684）号》。本批次含1台电机，配套川西壳牌70DBS,2012,2012-10-10,,,,
78,HTB03B型变频调速异步电动机（2012）-9,HTB03B,DJ03B12009,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
79,HTB03B型变频调速异步电动机（2012）-10,HTB03B,DJ03B12010,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
80,HTB03B型变频调速异步电动机（2012）-11,HTB03B,DJ03B12011,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
81,HTB03B型变频调速异步电动机（2012）-12,HTB03B,DJ03B12012,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
82,HTB03B型变频调速异步电动机（2012）-13,HTB03B,DJ03B12013,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
83,HTB03C型变频调速异步电动机（2012）-1,HTB03C,DJ03C12001,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
84,HTB03C型变频调速异步电动机（2012）-2,HTB03C,DJ03C12002,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
85,HTB03C型变频调速异步电动机（2012）-3,HTB03C,DJ03C12003,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
86,HTB03C型变频调速异步电动机（2012）-4,HTB03C,DJ03C12004,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
87,HTB03C型变频调速异步电动机（2012）-5,HTB03C,DJ03C12005,2012-8-13《电机部（2012）第（0813311）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-13,,,,
88,HTB03D型变频调速异步电动机（2012）-1,HTB03D,DJ03D12001,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
89,HTB03D型变频调速异步电动机（2012）-2,HTB03D,DJ03D12002,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
90,HTB03D型变频调速异步电动机（2012）-3,HTB03D,DJ03D12003,2012-6-29《电机部（2012）第（0629764）号》。含1台电机,2012,2012-6-29,,,,
91,HTB03D型变频调速异步电动机（2012）-4,HTB03D,DJ03D12004,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
92,HTB03D型变频调速异步电动机（2012）-5,HTB03D,DJ03D12005,2012-8-13《电机部（2012）第（0813311）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-13,,,,
93,HTB03D型变频调速异步电动机（2012）-6,HTB03D,DJ03D12006,2012-10-23《电机部（2012）第（1023330）号》。本批次含1台电机,2012,2012-10-23,,,,
94,HTB36型变频调速异步电动机（2012）-1,HTB36,DJ03612001,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
95,HTB36型变频调速异步电动机（2012）-2,HTB36,DJ03612002,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
96,HTB36型变频调速异步电动机（2012）-3,HTB36,DJ03612003,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
97,HTB36型变频调速异步电动机（2012）-4,HTB36,DJ03612004,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
98,HTB36A型变频调速异步电动机（2012）-1,HTB36A,DJ36A12001,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
99,HTB36A型变频调速异步电动机（2012）-2,HTB36A,DJ36A12002,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
100,HTB36A型变频调速异步电动机（2012）-3,HTB36A,DJ36A12003,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
101,HTB36A型变频调速异步电动机（2012）-4,HTB36A,DJ36A12004,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
102,HTB05型变频调速异步电动机（2012）-1,HTB05,DJ00512001,2012-1-11《电机部（2012）第（00011）号》。本批次含6台电机，渤海钻探ZJ70DB-2、3,2012,2012-1-11,,,,
103,HTB05F型变频调速异步电动机（2012）-1,HTB05F,DJ05F12001,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
104,HTB05F型变频调速异步电动机（2012）-2,HTB05F,DJ05F12002,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
105,HTB05F型变频调速异步电动机（2012）-3,HTB05F,DJ05F12003,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
106,HTB05F型变频调速异步电动机（2012）-4,HTB05F,DJ05F12004,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
107,HTB05F型变频调速异步电动机（2012）-5,HTB05F,DJ05F12005,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
108,HTB05F型变频调速异步电动机（2012）-6,HTB05F,DJ05F12006,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
109,HTB05F型变频调速异步电动机（2012）-7,HTB05F,DJ05F12007,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
110,HTB05F型变频调速异步电动机（2012）-8,HTB05F,DJ05F12008,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
111,HTB05F型变频调速异步电动机（2012）-9,HTB05F,DJ05F12009,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
112,HTB05F型变频调速异步电动机（2012）-10,HTB05F,DJ05F12010,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
113,HTB05F型变频调速异步电动机（2012）-11,HTB05F,DJ05F12011,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
114,HTB05F型变频调速异步电动机（2012）-12,HTB05F,DJ05F12012,2012-10-29《电机部（2012）第（1029938）号》。本批次含1台电机,2012,2012-10-29,,,,
115,HTB05C型变频调速异步电动机（2012）-1,HTB05C,DJ05C12001,2012-5-16《电机部（2012）第（0515389）号》。本批次含1台电机,2012,2012-5-16,,,,
116,HTB05C型变频调速异步电动机（2012）-2,HTB05C,DJ05C12002,2012-5-16《电机部（2012）第（0515389）号》。本批次含1台电机,2012,2012-5-16,,,,
117,HTB05C型变频调速异步电动机（2012）-3,HTB05C,DJ05C12003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
118,HTB05C型变频调速异步电动机（2012）-4,HTB05C,DJ05C12004,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
119,HTB05C型变频调速异步电动机（2012）-5,HTB05C,DJ05C12005,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
120,HTB05C型变频调速异步电动机（2012）-6,HTB05C,DJ05C12006,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
121,HTB05C型变频调速异步电动机（2012）-7,HTB05C,DJ05C12007,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
122,HTB05D型变频调速异步电动机（2012）-1,HTB05D,DJ05D12001,2012-5-16《电机部（2012）第（0515389）号》。本批次含1台电机,2012,2012-5-16,,,,
123,HTB05D型变频调速异步电动机（2012）-2,HTB05D,DJ05D12002,2012-5-16《电机部（2012）第（0515389）号》。本批次含1台电机,2012,2012-5-16,,,,
124,HTB05D型变频调速异步电动机（2012）-3,HTB05D,DJ05D12003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
125,HTB05D型变频调速异步电动机（2012）-4,HTB05D,DJ05D12004,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
126,HTB05D型变频调速异步电动机（2012）-5,HTB05D,DJ05D12005,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
127,HTB05D型变频调速异步电动机（2012）-6,HTB05D,DJ05D12006,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
128,HTB05D型变频调速异步电动机（2012）-7,HTB05D,DJ05D12007,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS绞车电机,2012,2012-7-30,,,,
129,HTB05E型变频调速异步电动机（2012）-1,HTB05E,DJ05E12001,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
130,HTB05E型变频调速异步电动机（2012）-2,HTB05E,DJ05E12002,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
131,HTB05E型变频调速异步电动机（2012）-3,HTB05E,DJ05E12003,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
132,HTB05E型变频调速异步电动机（2012）-4,HTB05E,DJ05E12004,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
133,HTB05E型变频调速异步电动机（2012）-5,HTB05E,DJ05E12005,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
134,HTB05E型变频调速异步电动机（2012）-6,HTB05E,DJ05E12006,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
135,HTB06B型变频调速异步电动机（2012）-1,HTB06B,DJ06B12001,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
136,HTB06B型变频调速异步电动机（2012）-2,HTB06B,DJ06B12002,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
137,HTB06B型变频调速异步电动机（2012）-3,HTB06B,DJ06B12003,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
138,HTB06B型变频调速异步电动机（2012）-4,HTB06B,DJ06B12004,2012-6-29《电机部（2012）第（0629911）号》。含1台电机,2012,2012-6-29,,,,
139,HTB12B型变频调速异步电动机（2012）-1,HTB12B,DJ12B12001,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
140,HTB12B型变频调速异步电动机（2012）-2,HTB12B,DJ12B12002,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
141,HTB12B型变频调速异步电动机（2012）-3,HTB12B,DJ12B12003,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
142,HTB12B型变频调速异步电动机（2012）-4,HTB12B,DJ12B12004,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
143,HTB12B型变频调速异步电动机（2012）-5,HTB12B,DJ12B12005,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
144,HTB12B型变频调速异步电动机（2012）-6,HTB12B,DJ12B12006,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
145,HTB12B型变频调速异步电动机（2012）-7,HTB12B,DJ12B12007,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
146,HTB12B型变频调速异步电动机（2012）-8,HTB12B,DJ12B12008,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
147,HTB12B型变频调速异步电动机（2012）-9,HTB12B,DJ12B12009,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
148,HTB12B型变频调速异步电动机（2012）-10,HTB12B,DJ12B12010,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
149,HTB12B型变频调速异步电动机（2012）-11,HTB12B,DJ12B12011,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
150,HTB12B型变频调速异步电动机（2012）-12,HTB12B,DJ12B12012,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
151,HTB12B型变频调速异步电动机（2012）-13,HTB12B,DJ12B12013,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
152,HTB12B型变频调速异步电动机（2012）-14,HTB12B,DJ12B12014,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
153,HTB12B型变频调速异步电动机（2012）-15,HTB12B,DJ12B12015,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
154,HTB12B型变频调速异步电动机（2012）-16,HTB12B,DJ12B12016,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
155,HTB12B型变频调速异步电动机（2012）-17,HTB12B,DJ12B12017,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
156,HTB12B型变频调速异步电动机（2012）-18,HTB12B,DJ12B12018,2012-7-30《电机部（2012）第（0730222）号》。本批次含1台电机，配套江苏信得80DBS直驱泵电机,2012,2012-7-30,,,,
157,HTB12B型变频调速异步电动机（2012）-19,HTB12B,DJ12B12019,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
158,HTB12B型变频调速异步电动机（2012）-20,HTB12B,DJ12B12020,2012-8-10《电机部（2012）第（0810277）号》。本批次含1台电机，配套江苏信得50DBS、70DBS,2012,2012-8-10,,,,
